EventTime	AirTemp	RH	DP	ChuckTemp	ModTemp	sLid	sVacuu	sPressure
20230313110009	19.98	0.18	-53.59	20.82	0	1	0	1
20230313110010	20.05	0.2	-52.66	20.82	0	1	0	1
20230313110011	20.04	0.16	-54.54	20.82	0	1	0	1
20230313110012	20.05	0.24	-51.11	20.82	0	1	0	1
20230313110013	20.05	0.18	-53.55	20.82	0	1	0	1
20230313110014	20.04	0.26	-50.42	20.82	0	1	0	1
20230313110015	20.05	0.2	-52.66	20.82	0	1	0	1
20230313110016	20.05	0.2	-52.66	20.82	0	1	0	0
20230313110017	20.07	0.2	-52.65	20.81	0	1	0	0
20230313110018	20.05	0.18	-53.55	20.82	0	1	0	0
20230313110019	20.04	0.22	-51.86	20.83	0	1	0	0
20230313110020	20.04	0.18	-53.56	20.82	0	1	0	0
20230313110021	20.07	0.24	-51.1	20.82	0	1	0	0
20230313110022	20.05	0.2	-52.66	20.82	0	1	0	0
20230313110024	20.07	0.24	-51.1	20.82	0	1	0	0
20230313110025	20.07	0.2	-52.65	20.82	0	1	0	0
20230313110026	20.07	0.2	-52.65	20.82	0	1	0	0
20230313110027	20.05	0.22	-51.85	20.83	0	1	0	0
20230313110028	20.07	0.18	-53.54	20.82	0	1	0	0
20230313110029	20.04	0.18	-53.56	20.82	0	1	0	0
20230313110030	20.04	0.26	-50.42	20.83	0	1	0	0
20230313110031	20.07	0.2	-52.65	20.82	0	1	0	0
20230313110032	20.07	0.2	-52.65	20.82	0	1	0	0
20230313110033	20.08	0.24	-51.09	20.82	0	1	0	0
20230313110034	20.07	0.22	-51.84	20.82	0	1	0	0
20230313110035	20.08	0.2	-52.65	20.82	0	1	0	0
20230313110036	20.07	0.2	-52.65	20.82	0	1	0	0
20230313110037	20.04	0.18	-53.56	20.82	0	1	0	0
20230313110039	20.07	0.22	-51.84	20.82	0	0	0	0
20230313110040	20.05	0.2	-52.66	20.82	0	0	0	0
20230313110041	20.07	0.22	-51.84	20.82	0	0	0	0
20230313110042	20.05	0.2	-52.66	20.81	0	0	0	0
20230313110043	20.08	0.18	-53.54	20.82	0	0	0	0
20230313110044	20.05	0.14	-55.64	20.82	0	0	0	0
20230313110045	20.05	0.18	-53.55	20.81	0	0	0	0
20230313110046	20.07	0.2	-52.65	20.82	0	0	0	0
20230313110047	20.07	0.18	-53.54	20.82	0	0	0	1
20230313110048	20.07	0.22	-51.84	20.82	0	0	0	0
20230313110049	20.04	0.22	-51.86	20.82	0	0	0	1
20230313110050	20.05	0.16	-54.53	20.81	0	1	0	0
20230313110051	20.05	0.2	-52.66	20.82	0	1	0	1
20230313110052	20.05	0.14	-55.64	20.82	0	1	0	1
20230313110054	20.05	0.16	-54.53	20.82	0	1	0	0
20230313110055	20.07	0.14	-55.63	20.82	0	1	0	1
