EventTime	AirTemp	RH	DP	ChuckTemp	ModTemp	sLid	sVacuu	sPressure
20230313111150	20.03	0.2	-52.67	20.83	0	1	0	0
20230313111151	20.04	0.16	-54.54	20.83	0	1	0	0
20230313111152	20.07	0.18	-53.54	20.83	0	1	0	1
20230313111153	20.04	0.12	-56.9	20.82	0	1	0	1
20230313111154	20.05	0.14	-55.64	20.83	0	1	0	1
20230313111155	20.04	0.14	-55.64	20.82	0	1	0	1
20230313111157	20.07	0.16	-54.52	20.83	0	1	0	1
20230313111158	20.07	0.14	-55.63	20.83	0	1	0	0
20230313111159	20.07	0.18	-53.54	20.83	0	1	0	1
20230313111200	20.04	0.18	-53.56	20.83	0	1	0	1
20230313111201	20.05	0.08	-60.12	20.83	0	1	0	1
20230313111202	20.07	0.14	-55.63	20.83	0	1	0	0
20230313111203	20.05	0.14	-55.64	20.83	0	1	0	0
20230313111204	20.07	0.2	-52.65	20.83	0	1	0	0
20230313111205	20.05	0.12	-56.89	20.83	0	1	0	1
20230313111206	20.05	0.18	-53.55	20.82	0	1	0	1
20230313111207	20.08	0.14	-55.62	20.81	0	1	0	1
20230313111208	20.07	0.16	-54.52	20.83	0	1	0	1
20230313111209	20.07	0.16	-54.52	20.82	0	1	0	1
20230313111210	20.05	0.22	-51.85	20.83	0	1	0	1
20230313111212	20.07	0.08	-60.11	20.82	0	1	0	0
20230313111213	20.05	0.14	-55.64	20.83	0	1	0	0
20230313111214	20.07	0.16	-54.52	20.83	0	1	0	0
20230313111215	20.05	0.1	-58.36	20.83	0	1	0	0
20230313111216	20.05	0.2	-52.66	20.82	0	1	0	0
20230313111217	20.07	0.14	-55.63	20.83	0	1	0	0
20230313111218	20.08	0.16	-54.52	20.83	0	1	0	1
20230313111219	20.05	0.16	-54.53	20.83	0	1	0	1
20230313111220	20.07	0.16	-54.52	20.83	0	1	0	1
20230313111221	20.05	0.12	-56.89	20.82	0	1	0	1
20230313111222	20.05	0.14	-55.64	20.82	0	1	0	1
20230313111223	20.07	0.16	-54.52	20.83	0	1	0	1
20230313111224	20.05	0.2	-52.66	20.83	0	1	0	1
20230313111225	20.07	0.12	-56.88	20.82	0	1	0	1
20230313111227	20.09	0.28	-49.75	20.83	0	1	0	1
20230313111228	20.12	4.03	-23.27	20.83	0	1	0	1
20230313111229	20.14	9.8	-12.75	20.83	0	1	0	1
20230313111230	20.18	14.81	-7.48	20.83	0	1	0	1
20230313111231	20.19	19.0	-4.2	20.83	0	1	0	1
20230313111232	20.25	22.39	-1.94	20.83	0	1	0	1
20230313111233	20.32	26.98	0.68	20.83	0	1	0	1
20230313111234	20.35	28.62	1.53	20.83	0	1	0	1
20230313111235	20.36	30.1	2.24	20.83	0	1	0	1
20230313111236	20.36	31.35	2.81	20.83	0	1	0	1
20230313111237	20.35	32.48	3.31	20.83	0	1	0	1
20230313111238	20.39	33.46	3.76	20.83	0	1	0	1
20230313111239	20.41	34.26	4.12	20.83	0	1	0	1
20230313111240	20.41	34.82	4.35	20.83	0	1	0	1
20230313111242	20.43	35.3	4.56	20.84	0	1	0	1
20230313111243	20.42	35.71	4.72	20.83	0	1	0	1
20230313111244	20.41	36.12	4.87	20.83	0	1	0	1
20230313111245	20.41	36.37	4.97	20.83	0	1	0	1
20230313111246	20.39	36.62	5.05	20.83	0	1	0	1
20230313111247	20.35	37.09	5.2	20.84	0	1	0	1
20230313111248	20.36	37.24	5.27	20.83	0	1	0	1
20230313111249	20.36	37.38	5.32	20.83	0	1	0	1
20230313111250	20.36	37.53	5.38	20.83	0	1	0	1
20230313111251	20.35	37.64	5.41	20.83	0	1	0	1
20230313111252	20.35	37.78	5.47	20.82	0	1	0	1
20230313111253	20.39	37.87	5.54	20.83	0	1	0	1
20230313111254	20.38	37.93	5.55	20.83	0	1	0	1
20230313111255	20.36	38.0	5.56	20.84	0	1	0	1
20230313111257	20.38	37.97	5.57	20.84	0	1	0	1
20230313111258	20.36	38.09	5.59	20.83	0	1	0	1
20230313111259	20.36	38.14	5.61	20.84	0	1	0	1
20230313111300	20.35	38.17	5.62	20.82	0	1	0	1
20230313111301	20.35	38.19	5.62	20.83	0	1	0	1
20230313111302	20.38	38.32	5.7	20.83	0	1	0	1
20230313111303	20.35	38.32	5.67	20.82	0	1	0	1
20230313111304	20.35	38.41	5.71	20.83	0	1	0	1
20230313111305	20.35	38.38	5.7	20.83	0	1	0	1
20230313111306	20.36	38.38	5.7	20.84	0	1	0	1
20230313111307	20.36	38.43	5.72	20.83	0	1	0	1
20230313111308	20.35	38.36	5.69	20.84	0	1	0	1
20230313111309	20.38	38.44	5.74	20.83	0	1	0	1
20230313111310	20.38	38.44	5.74	20.84	0	1	0	1
20230313111312	20.36	38.5	5.75	20.84	0	1	0	1
20230313111313	20.38	38.46	5.75	20.82	0	1	0	1
20230313111314	20.38	38.53	5.78	20.83	0	1	0	1
20230313111315	20.38	38.5	5.77	20.83	0	1	0	1
20230313111316	20.38	38.52	5.77	20.83	0	1	0	1
20230313111317	20.36	38.59	5.78	20.83	0	1	0	1
20230313111318	20.39	38.59	5.81	20.83	0	1	0	1
20230313111319	20.41	38.64	5.85	20.84	0	1	0	1
20230313111320	20.42	38.65	5.86	20.84	0	1	0	1
20230313111321	20.38	38.62	5.81	20.84	0	1	0	1
20230313111322	20.39	38.66	5.84	20.84	0	1	0	1
20230313111323	20.39	38.72	5.86	20.83	0	1	0	1
20230313111324	20.39	38.66	5.84	20.83	0	1	0	1
20230313111325	20.38	38.71	5.85	20.84	0	1	0	1
20230313111326	20.41	38.71	5.87	20.84	0	1	0	1
20230313111328	20.41	38.71	5.87	20.84	0	1	0	1
20230313111329	20.39	38.66	5.84	20.84	0	1	0	1
20230313111330	20.41	38.67	5.86	20.83	0	1	0	1
20230313111331	20.41	38.65	5.85	20.84	0	1	0	1
20230313111332	20.41	38.68	5.86	20.84	0	1	0	1
20230313111333	20.41	38.72	5.88	20.84	0	1	0	1
20230313111334	20.41	38.72	5.88	20.83	0	1	0	1
20230313111335	20.41	38.72	5.88	20.84	0	1	0	1
20230313111336	20.41	38.72	5.88	20.83	0	1	0	1
20230313111337	20.41	38.75	5.89	20.84	0	1	0	1
20230313111338	20.42	38.83	5.93	20.84	0	1	0	1
20230313111339	20.41	38.74	5.88	20.84	0	1	0	1
20230313111340	20.42	38.76	5.9	20.84	0	1	0	1
20230313111341	20.45	38.72	5.91	20.84	0	1	0	1
20230313111343	20.43	38.68	5.88	20.84	0	1	0	1
20230313111344	20.45	38.7	5.9	20.84	0	1	0	1
20230313111345	20.45	38.63	5.88	20.84	0	1	0	1
20230313111346	20.43	38.65	5.87	20.84	0	1	0	1
20230313111347	20.43	38.67	5.88	20.84	0	1	0	1
20230313111348	20.43	38.67	5.88	20.84	0	1	0	1
20230313111349	20.43	38.71	5.89	20.84	0	1	0	1
20230313111350	20.42	38.7	5.88	20.84	0	1	0	1
20230313111351	20.46	38.75	5.93	20.84	0	1	0	1
20230313111352	20.42	38.71	5.88	20.84	0	1	0	1
