EventTime	AirTemp	RH	DP	ChuckTemp	ModTemp	sLid	sVacuu	sPressure
20230313105829	19.969	0.197	-52.834	20.82	0	1	0	0
20230313105831	20.068	0.198	-52.74	20.82	0	1	0	0
20230313105832	20.081	0.24	-51.091	20.82	0	1	0	0
20230313105833	20.052	0.22	-51.852	20.82	0	1	0	0
20230313105834	20.052	0.22	-51.852	20.82	0	1	0	0
20230313105835	20.095	0.198	-52.726	20.82	0	1	0	1
20230313105836	20.052	0.258	-50.482	20.82	0	1	0	1
20230313105837	20.052	0.22	-51.852	20.833	0	1	0	1
20230313105838	20.081	0.198	-52.733	20.833	0	1	0	1
20230313105839	20.068	0.198	-52.74	20.82	0	1	0	1
20230313105840	20.068	0.24	-51.098	20.82	0	1	0	0
20230313105841	20.052	0.22	-51.852	20.82	0	1	0	1
20230313105842	20.081	0.24	-51.091	20.833	0	1	0	0
20230313105843	20.052	0.238	-51.178	20.82	0	1	0	1
20230313105844	20.068	0.18	-53.543	20.808	0	1	0	0
20230313105846	20.068	0.22	-51.844	20.82	0	1	0	0
20230313105847	20.081	0.24	-51.091	20.82	0	1	0	0
20230313105848	20.068	0.22	-51.844	20.82	0	1	0	0
20230313105849	20.068	0.198	-52.74	20.82	0	1	0	1
20230313105850	20.052	0.179	-53.598	20.808	0	1	0	1
20230313105851	20.068	0.18	-53.543	20.82	0	1	0	1
20230313105852	20.068	0.18	-53.543	20.833	0	1	0	1
