EventTime	AirTemp	RH	DP	ChuckTemp	ModTemp	sLid	sVacuu	sPressure
20230313104252	19.852	0.055	-63.095	20.747	0	0	0	1
20230313104253	19.838	0.0	-89.048	20.735	0	0	0	0
20230313104254	19.868	0.0	-89.037	20.747	0	0	0	1
20230313104255	19.868	0.055	-63.088	20.747	0	0	0	1
20230313104256	19.852	0.0	-89.043	20.747	0	0	0	1
20230313104257	19.868	0.073	-60.92	20.747	0	0	0	1
20230313104258	19.868	0.034	-66.655	20.735	0	0	0	1
20230313104259	19.838	0.014	-72.89	20.747	0	0	0	1
20230313104300	19.852	0.0	-89.043	20.735	0	0	0	1
20230313104301	19.868	0.014	-72.877	20.735	0	0	0	1
20230313104302	19.852	0.032	-67.101	20.735	0	0	0	1
20230313104304	19.852	0.0	-89.043	20.747	0	0	0	1
20230313104305	19.852	0.014	-72.884	20.735	0	0	0	1
20230313104306	19.894	0.0	-89.028	20.735	0	0	0	1
20230313104307	19.852	0.014	-72.884	20.747	0	0	0	1
20230313104308	19.868	0.0	-89.037	20.747	0	0	0	1
20230313104309	19.868	0.0	-89.037	20.747	0	0	0	1
20230313104310	19.894	0.075	-60.697	20.747	0	0	0	1
20230313104311	19.881	0.0	-89.033	20.747	0	0	0	1
20230313104312	19.881	0.0	-89.033	20.747	0	0	0	1
20230313104313	19.894	0.015	-72.398	20.747	0	0	0	1
20230313104314	19.868	0.0	-89.037	20.735	0	0	0	1
20230313104315	19.868	0.055	-63.088	20.747	0	0	0	1
20230313104316	19.881	0.0	-89.033	20.747	0	0	0	1
20230313104317	19.881	0.034	-66.649	20.747	0	0	0	1
20230313104319	19.868	0.0	-89.037	20.747	0	0	0	1
20230313104320	19.881	0.015	-72.404	20.747	0	0	0	0
20230313104321	19.852	0.0	-89.043	20.747	0	1	0	1
20230313104322	19.894	0.015	-72.398	20.735	0	1	0	0
20230313104323	19.852	0.014	-72.884	20.747	0	0	0	0
20230313104324	19.852	0.0	-89.043	20.735	0	0	0	0
20230313104325	19.868	0.034	-66.655	20.735	0	0	0	0
20230313104326	19.868	0.073	-60.92	20.747	0	0	0	1
20230313104327	19.868	0.014	-72.877	20.747	0	0	0	0
20230313104328	19.894	0.034	-66.643	20.747	0	0	0	1
20230313104329	19.868	0.034	-66.655	20.747	0	0	0	1
20230313104330	19.852	0.014	-72.884	20.747	0	0	0	1
20230313104331	19.868	0.0	-89.037	20.747	0	0	0	1
20230313104332	19.868	0.093	-59.024	20.747	0	0	0	0
20230313104333	19.868	0.014	-72.877	20.735	0	0	0	1
20230313104335	19.881	0.0	-89.033	20.735	0	0	0	1
20230313104336	19.894	0.034	-66.643	20.747	0	0	0	1
20230313104337	19.894	0.015	-72.398	20.735	0	0	0	0
20230313104338	19.881	0.034	-66.649	20.747	0	0	0	0
20230313104339	19.91	0.0	-89.023	20.747	0	0	0	1
20230313104340	19.894	0.0	-89.028	20.747	0	0	0	0
20230313104341	19.881	0.0	-89.033	20.747	0	0	0	1
20230313104342	19.881	0.015	-72.404	20.735	0	0	0	1
20230313104343	19.881	0.055	-63.081	20.735	0	0	0	1
20230313104344	19.881	0.0	-89.033	20.747	0	0	0	1
20230313104345	19.881	0.0	-89.033	20.747	0	0	0	1
20230313104346	19.91	0.015	-72.391	20.747	0	0	0	1
20230313104347	19.881	0.034	-66.649	20.747	0	0	0	0
20230313104348	19.894	0.015	-72.398	20.747	0	0	0	1
20230313104350	19.894	0.055	-63.075	20.747	0	0	0	0
20230313104351	19.881	0.015	-72.404	20.747	0	0	0	0
20230313104352	19.894	0.0	-89.028	20.747	0	0	0	0
20230313104353	19.881	0.034	-66.649	20.747	0	0	0	0
20230313104354	19.881	0.0	-89.033	20.747	0	0	0	1
20230313104355	19.894	0.0	-89.028	20.747	0	0	0	0
20230313104356	19.894	0.0	-89.028	20.747	0	0	0	1
20230313104357	19.868	0.014	-72.877	20.747	0	0	0	1
20230313104358	19.894	0.055	-63.075	20.747	0	0	0	1
20230313104359	19.881	0.0	-89.033	20.747	0	0	0	1
20230313104400	19.91	0.015	-72.391	20.747	0	0	0	0
20230313104401	19.868	0.014	-72.877	20.747	0	0	0	1
20230313104402	19.881	0.0	-89.033	20.747	0	0	0	1
20230313104403	19.894	0.0	-89.028	20.735	0	0	0	1
20230313104405	19.91	0.0	-89.023	20.747	0	0	0	0
20230313104406	19.881	0.0	-89.033	20.747	0	0	0	0
20230313104407	19.894	0.055	-63.075	20.747	0	0	0	1
20230313104408	19.881	0.055	-63.081	20.747	0	0	0	1
20230313104409	19.881	0.0	-89.033	20.747	0	0	0	0
20230313104410	19.881	0.034	-66.649	20.747	0	0	0	1
20230313104411	19.868	0.014	-72.877	20.747	0	0	0	1
20230313104412	19.881	0.0	-89.033	20.747	0	0	0	1
20230313104413	19.881	0.034	-66.649	20.747	0	0	0	0
20230313104414	19.868	0.0	-89.037	20.747	0	0	0	1
20230313104415	19.881	0.0	-89.033	20.747	0	0	0	0
20230313104416	19.868	0.014	-72.877	20.735	0	0	0	1
20230313104417	19.868	0.0	-89.037	20.747	0	0	0	0
20230313104418	19.881	0.055	-63.081	20.747	0	0	0	0
20230313104419	19.868	0.034	-66.655	20.747	0	0	0	0
20230313104420	19.894	0.015	-72.398	20.747	0	0	0	0
20230313104421	19.868	0.0	-89.037	20.747	0	0	0	0
20230313104423	19.868	0.014	-72.877	20.735	0	0	0	1
20230313104424	19.881	0.034	-66.649	20.735	0	0	0	1
20230313104425	19.881	0.0	-89.033	20.735	0	0	0	0
20230313104426	19.894	0.015	-72.398	20.747	0	0	0	0
20230313104427	19.881	0.034	-66.649	20.735	0	0	0	0
20230313104428	19.881	0.015	-72.404	20.747	0	0	0	1
20230313104429	19.894	0.055	-63.075	20.747	0	0	0	1
20230313104430	19.868	0.0	-89.037	20.747	0	0	0	0
20230313104431	19.881	0.034	-66.649	20.747	0	0	0	0
20230313104432	19.868	0.0	-89.037	20.747	0	0	0	0
20230313104433	19.894	0.0	-89.028	20.747	0	0	0	0
20230313104434	19.868	0.034	-66.655	20.747	0	0	0	1
20230313104435	19.881	0.0	-89.033	20.747	0	0	0	0
20230313104436	19.91	0.0	-89.023	20.747	0	0	0	0
20230313104438	19.894	0.015	-72.398	20.747	0	0	0	0
20230313104439	19.852	0.0	-89.043	20.747	0	0	0	1
20230313104440	19.868	0.014	-72.877	20.747	0	0	0	0
20230313104441	19.881	0.0	-89.033	20.747	0	0	0	0
20230313104442	19.868	0.034	-66.655	20.747	0	0	0	0
20230313104443	19.881	0.015	-72.404	20.747	0	0	0	0
20230313104444	19.881	0.015	-72.404	20.735	0	0	0	0
20230313104445	19.868	0.0	-89.037	20.747	0	0	0	0
20230313104446	19.868	0.014	-72.877	20.747	0	0	0	1
20230313104447	19.852	0.032	-67.101	20.747	0	0	0	0
20230313104448	19.881	0.015	-72.404	20.747	0	0	0	0
20230313104449	19.868	0.0	-89.037	20.759	0	0	0	0
20230313104450	19.881	0.034	-66.649	20.747	0	0	0	0
20230313104451	19.868	0.073	-60.92	20.747	0	0	0	0
20230313104453	19.894	0.0	-89.028	20.747	0	0	0	0
20230313104454	19.881	0.0	-89.033	20.747	0	0	0	0
20230313104455	19.881	0.0	-89.033	20.747	0	0	0	0
20230313104456	19.881	0.0	-89.033	20.747	0	0	0	0
20230313104457	19.894	0.0	-89.028	20.747	0	0	0	0
20230313104458	19.881	0.015	-72.404	20.747	0	0	0	0
20230313104459	19.881	0.055	-63.081	20.747	0	0	0	0
20230313104500	19.894	0.034	-66.643	20.747	0	0	0	0
20230313104501	19.868	0.014	-72.877	20.747	0	0	0	0
20230313104502	19.881	0.0	-89.033	20.747	0	0	0	0
20230313104503	19.881	0.0	-89.033	20.747	0	0	0	0
20230313104504	19.868	0.0	-89.037	20.747	0	0	0	0
20230313104505	19.868	0.073	-60.92	20.747	0	0	0	0
20230313104506	19.894	0.015	-72.398	20.747	0	0	0	0
20230313104508	19.852	0.0	-89.043	20.747	0	0	0	0
20230313104509	19.881	0.015	-72.404	20.747	0	0	0	0
20230313104510	19.894	0.0	-89.028	20.735	0	0	0	0
20230313104511	19.881	0.055	-63.081	20.735	0	0	0	0
20230313104512	19.881	0.0	-89.033	20.747	0	0	0	0
20230313104513	19.924	0.0	-89.018	20.747	0	0	0	0
20230313104514	19.881	0.0	-89.033	20.747	0	0	0	0
20230313104515	19.881	0.034	-66.649	20.747	0	0	0	0
20230313104516	19.894	0.0	-89.028	20.747	0	0	0	0
20230313104517	19.894	0.055	-63.075	20.735	0	0	0	0
20230313104518	19.852	0.014	-72.884	20.747	0	0	0	0
20230313104519	19.881	0.0	-89.033	20.759	0	0	0	0
20230313104520	19.868	0.0	-89.037	20.747	0	0	0	0
20230313104521	19.868	0.0	-89.037	20.747	0	0	0	0
20230313104522	19.868	0.034	-66.655	20.747	0	0	0	0
20230313104524	19.91	0.0	-89.023	20.747	0	0	0	0
20230313104525	19.852	0.0	-89.043	20.747	0	0	0	0
20230313104526	19.868	0.014	-72.877	20.747	0	0	0	0
20230313104527	19.868	0.055	-63.088	20.747	0	0	0	0
20230313104528	19.868	0.0	-89.037	20.747	0	0	0	0
20230313104529	19.881	0.034	-66.649	20.747	0	0	0	0
20230313104530	19.91	0.015	-72.391	20.747	0	0	0	0
20230313104531	19.868	0.0	-89.037	20.747	0	0	0	0
20230313104532	19.894	0.0	-89.028	20.747	0	0	0	0
20230313104533	19.894	0.0	-89.028	20.747	0	0	0	0
20230313104534	19.894	0.034	-66.643	20.747	0	0	0	0
20230313104535	19.894	0.015	-72.398	20.735	0	0	0	0
20230313104536	19.881	0.0	-89.033	20.747	0	0	0	1
20230313104537	19.91	0.0	-89.023	20.747	0	0	0	0
20230313104539	19.894	0.0	-89.028	20.735	0	0	0	1
20230313104540	19.91	0.015	-72.391	20.747	0	0	0	0
20230313104541	19.91	0.056	-62.931	20.747	0	0	0	0
20230313104542	19.91	0.034	-66.636	20.747	0	0	0	1
20230313104543	19.894	0.034	-66.643	20.747	0	0	0	0
20230313104544	19.881	0.0	-89.033	20.747	0	0	0	1
20230313104545	19.894	0.015	-72.398	20.747	0	0	0	0
20230313104546	19.91	0.0	-89.023	20.747	0	0	0	1
20230313104547	19.881	0.0	-89.033	20.735	0	0	0	1
20230313104548	19.881	0.034	-66.649	20.747	0	0	0	0
20230313104549	19.894	0.015	-72.398	20.747	0	0	0	1
20230313104550	19.91	0.015	-72.391	20.747	0	0	0	1
20230313104551	19.868	0.014	-72.877	20.735	0	0	0	1
20230313104552	19.894	0.0	-89.028	20.735	0	0	0	1
20230313104554	19.881	0.034	-66.649	20.747	0	0	0	1
20230313104555	19.91	0.015	-72.391	20.747	0	0	0	1
20230313104556	19.91	0.633	-42.463	20.735	0	0	0	1
20230313104557	19.924	4.923	-21.124	20.747	0	0	0	1
20230313104558	19.924	10.787	-11.717	20.747	0	0	0	1
20230313104559	19.937	15.518	-7.07	20.747	0	0	0	1
20230313104600	19.982	19.452	-4.057	20.747	0	0	0	1
20230313104601	20.012	22.632	-1.995	20.747	0	0	0	1
20230313104602	20.025	27.073	0.473	20.747	0	0	0	1
20230313104603	20.052	28.809	1.36	20.747	0	0	0	1
20230313104604	20.052	30.286	2.06	20.747	0	0	0	1
20230313104605	20.081	31.615	2.689	20.759	0	0	0	1
20230313104606	20.081	32.474	3.068	20.747	0	0	0	1
20230313104607	20.095	33.271	3.424	20.747	0	0	0	1
20230313104609	20.137	33.989	3.764	20.735	0	0	0	1
20230313104610	20.153	34.507	3.994	20.747	0	0	0	1
20230313104611	20.167	35.007	4.211	20.747	0	0	0	1
20230313104612	20.18	35.422	4.391	20.759	0	0	0	1
20230313104613	20.209	35.793	4.566	20.747	0	0	0	1
20230313104614	20.193	36.143	4.691	20.747	0	0	0	1
20230313104615	20.223	36.321	4.788	20.747	0	0	0	1
