EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure	IsOkay
20230404124428	2.3	1.18	-47.46	0.48	1000.0	1	1	1	1
20230404124429	2.28	1.01	-48.86	0.48	1000.0	1	1	1	1
20230404124430	2.29	1.03	-48.68	0.48	1000.0	1	1	1	1
20230404124431	2.32	1.05	-48.49	0.52	1000.0	1	1	1	1
20230404124432	2.32	1.07	-48.32	0.48	1000.0	1	1	1	1
20230404124433	2.35	1.01	-48.81	0.52	1000.0	1	1	1	1
20230404124434	2.38	1.07	-48.29	0.52	1000.0	1	1	1	1
20230404124436	2.39	1.05	-48.45	0.52	1000.0	1	1	1	1
20230404124437	2.39	1.03	-48.62	0.52	1000.0	1	1	1	1
20230404124438	2.4	1.07	-48.27	0.52	1000.0	1	1	1	1
20230404124439	2.43	1.05	-48.42	0.52	1000.0	1	1	1	1
20230404124440	2.45	1.03	-48.58	0.52	1000.0	1	1	1	1
20230404124441	2.49	1.07	-48.22	0.52	1000.0	1	1	1	1
20230404124442	2.49	1.05	-48.38	0.52	1000.0	1	1	1	1
20230404124443	2.5	1.11	-47.88	0.52	1000.0	1	1	1	1
20230404124444	2.53	1.04	-48.44	0.52	1000.0	1	1	1	1
20230404124446	2.53	1.02	-48.61	0.52	1000.0	1	1	1	1
20230404124447	2.56	1.06	-48.26	0.56	1000.0	1	1	1	1
20230404124448	2.56	1.0	-48.77	0.52	1000.0	1	1	1	1
20230404124449	2.56	1.0	-48.77	0.52	1000.0	1	1	1	1
20230404124450	2.6	1.02	-48.57	0.52	1000.0	1	1	1	1
20230404124451	2.61	1.06	-48.22	0.56	1000.0	1	1	1	1
20230404124452	2.61	1.06	-48.22	0.52	1000.0	1	1	1	1
20230404124453	2.59	1.04	-48.4	0.52	1000.0	1	1	1	1
20230404124454	2.61	1.15	-47.5	0.56	1000.0	1	1	1	1
20230404124456	2.59	1.09	-47.99	0.52	1000.0	1	1	1	1
20230404124457	2.63	1.06	-48.21	0.56	1000.0	1	1	1	1
20230404124458	2.61	1.06	-48.22	0.52	1000.0	1	1	1	1
20230404124459	2.61	1.1	-47.89	0.56	1000.0	1	1	1	1
20230404124500	2.61	1.06	-48.22	0.52	1000.0	1	1	1	1
20230404124501	2.63	1.04	-48.38	0.56	1000.0	1	1	1	1
20230404124502	2.61	1.0	-48.74	0.52	1000.0	1	1	1	1
20230404124503	2.6	1.08	-48.06	0.48	1000.0	1	1	1	1
20230404124504	2.59	1.06	-48.24	0.48	1000.0	1	1	1	1
20230404124505	2.6	0.98	-48.92	0.48	1000.0	1	1	1	1
20230404124506	2.57	1.06	-48.25	0.48	1000.0	1	1	1	1
20230404124508	2.56	1.06	-48.26	0.44	1000.0	1	1	1	1
20230404124509	2.57	1.0	-48.76	0.44	1000.0	1	1	1	1
20230404124510	2.5	1.0	-48.81	0.44	1000.0	1	1	1	1
20230404124511	2.5	1.07	-48.21	0.44	1000.0	1	1	1	1
20230404124512	2.49	1.04	-48.47	0.44	1000.0	1	1	1	1
20230404124513	2.48	1.07	-48.22	0.36	1000.0	1	1	1	1
20230404124514	2.45	1.11	-47.92	0.4	1000.0	1	1	1	1
20230404124515	2.43	1.09	-48.09	0.4	1000.0	1	1	1	1
20230404124516	2.42	1.03	-48.6	0.4	1000.0	1	1	1	1
20230404124517	2.42	1.01	-48.77	0.36	1000.0	1	1	1	1
20230404124519	2.38	1.01	-48.8	0.36	1000.0	1	1	1	1
20230404124520	2.36	1.07	-48.3	0.32	1000.0	1	1	1	1
20230404124521	2.32	1.05	-48.49	0.32	1000.0	1	1	1	1
20230404124522	2.28	0.97	-49.21	0.28	1000.0	1	1	1	1
20230404124523	2.29	0.97	-49.21	0.28	1000.0	1	1	1	1
20230404124524	2.28	1.05	-48.52	0.28	1000.0	1	1	1	1
20230404124525	2.22	1.06	-48.47	0.28	1000.0	1	1	1	1
20230404124526	2.24	1.03	-48.71	0.28	1000.0	1	1	1	1
20230404124527	2.22	0.99	-49.07	0.24	1000.0	1	1	1	1
20230404124528	2.19	1.0	-49.0	0.28	1000.0	1	1	1	1
20230404124529	2.15	1.03	-48.77	0.24	1000.0	1	1	1	1
20230404124530	2.12	0.97	-49.31	0.2	1000.0	1	1	1	1
20230404124532	2.12	1.0	-49.05	0.2	1000.0	1	1	1	1
20230404124533	2.08	0.95	-49.52	0.2	1000.0	1	1	1	1
20230404124534	2.06	1.04	-48.74	0.16	1000.0	1	1	1	1
20230404124535	2.05	1.0	-49.09	0.16	1000.0	1	1	1	1
20230404124536	2.04	0.94	-49.64	0.16	1000.0	1	1	1	1
20230404124537	2.02	1.02	-48.93	0.12	1000.0	1	1	1	1
20230404124538	2.01	1.0	-49.11	0.12	1000.0	1	1	1	1
20230404124539	1.97	0.96	-49.5	0.08	1000.0	1	1	1	1
20230404124540	1.95	0.98	-49.33	0.12	1000.0	1	1	1	1
20230404124541	1.95	1.08	-48.47	0.08	1000.0	1	1	1	1
20230404124542	1.9	0.99	-49.27	0.08	1000.0	1	1	1	1
20230404124543	1.9	0.94	-49.73	0.08	1000.0	1	1	1	1
20230404124544	1.9	0.98	-49.36	0.08	1000.0	1	1	1	1
20230404124545	1.86	0.96	-49.57	0.08	1000.0	1	1	1	1
20230404124547	1.85	0.98	-49.39	0.08	1000.0	1	1	1	1
20230404124548	1.82	0.99	-49.32	0.0	1000.0	1	1	1	1
20230404124549	1.81	0.92	-49.97	0.04	1000.0	1	1	1	1
20230404124550	1.79	0.98	-49.43	0.04	1000.0	1	1	1	1
20230404124551	1.79	0.94	-49.79	0.0	1000.0	1	1	1	1
20230404124552	1.75	1.03	-49.02	0.0	1000.0	1	1	1	1
20230404124553	1.75	0.99	-49.37	0.0	1000.0	1	1	1	1
20230404124554	1.75	0.94	-49.82	0.0	1000.0	1	1	1	1
20230404124555	1.73	0.99	-49.38	0.0	1000.0	1	1	1	1
20230404124556	1.71	0.97	-49.57	-0.04	1000.0	1	1	1	1
20230404124557	1.68	0.97	-49.59	-0.04	1000.0	1	1	1	1
20230404124558	1.68	0.99	-49.41	-0.04	1000.0	1	1	1	1
20230404124559	1.67	0.99	-49.42	-0.04	1000.0	1	1	1	1
20230404124601	1.64	1.03	-49.09	-0.08	1000.0	1	1	1	1
20230404124602	1.65	0.95	-49.79	-0.08	1000.0	1	1	1	1
20230404124603	1.65	0.97	-49.61	-0.08	1000.0	1	1	1	1
20230404124604	1.63	0.95	-49.8	-0.08	1000.0	1	1	1	1
20230404124605	1.61	0.95	-49.81	-0.12	1000.0	1	1	1	1
20230404124606	1.61	0.95	-49.81	-0.08	1000.0	1	1	1	1
20230404124607	1.61	0.99	-49.45	-0.08	1000.0	1	1	1	1
20230404124608	1.6	0.99	-49.46	-0.12	1000.0	1	1	1	1
20230404124609	1.6	0.97	-49.64	-0.08	1000.0	1	1	1	1
20230404124610	1.57	0.95	-49.84	-0.12	1000.0	1	1	1	1
20230404124611	1.57	0.97	-49.66	-0.12	1000.0	1	1	1	1
20230404124612	1.54	1.01	-49.32	-0.12	1000.0	1	1	1	1
20230404124614	1.54	0.98	-49.59	-0.12	1000.0	1	1	1	1
20230404124615	1.51	0.95	-49.88	-0.12	1000.0	1	1	1	1
20230404124616	1.51	0.95	-49.88	-0.12	1000.0	1	1	1	1
20230404124617	1.53	0.95	-49.86	-0.12	1000.0	1	1	1	1
20230404124618	1.53	0.95	-49.86	-0.16	1000.0	1	1	1	1
20230404124619	1.51	0.97	-49.69	-0.12	1000.0	1	1	1	1
20230404124620	1.53	0.95	-49.86	-0.16	1000.0	1	1	1	1
20230404124621	1.5	0.97	-49.7	-0.16	1000.0	1	1	1	1
20230404124622	1.49	0.91	-50.26	-0.16	1000.0	1	1	1	1
20230404124623	1.5	0.97	-49.7	-0.16	1000.0	1	1	1	1
20230404124624	1.5	0.97	-49.7	-0.16	1000.0	1	1	1	1
20230404124626	1.46	1.0	-49.46	-0.19	1000.0	1	1	1	1
20230404124627	1.49	0.95	-49.89	-0.16	1000.0	1	1	1	1
20230404124628	1.49	0.93	-50.07	-0.19	1000.0	1	1	1	1
20230404124629	1.47	0.96	-49.81	-0.16	1000.0	1	1	1	1
20230404124630	1.46	0.98	-49.64	-0.19	1000.0	1	1	1	1
20230404124631	1.47	0.93	-50.09	-0.19	1000.0	1	1	1	1
20230404124632	1.44	0.98	-49.65	-0.19	1000.0	1	1	1	1
20230404124633	1.46	0.94	-50.0	-0.19	1000.0	1	1	1	1
20230404124634	1.44	0.98	-49.65	-0.19	1000.0	1	1	1	1
20230404124635	1.46	0.93	-50.09	-0.19	1000.0	1	1	1	1
20230404124636	1.43	0.94	-50.02	-0.23	1000.0	1	1	1	1
20230404124637	1.43	0.94	-50.02	-0.23	1000.0	1	1	1	1
20230404124639	1.44	1.0	-49.47	-0.23	1000.0	1	1	1	1
20230404124640	1.43	0.94	-50.02	-0.19	1000.0	1	1	1	1
20230404124641	1.44	0.94	-50.01	-0.23	1000.0	1	1	1	1
20230404124642	1.44	1.0	-49.47	-0.23	1000.0	1	1	1	1
20230404124643	1.44	0.98	-49.65	-0.23	1000.0	1	1	1	1
20230404124644	1.44	1.0	-49.47	-0.23	1000.0	1	1	1	1
