EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure
20230321114449	20.09	0.28	-49.75	20.2	19.27	0	0	0
20230321114451	20.05	0.12	-56.89	20.19	19.25	0	0	0
20230321114452	20.05	0.14	-55.64	20.2	19.26	0	0	0
20230321114453	20.07	0.16	-54.52	20.2	19.26	0	0	0
20230321114454	20.07	0.2	-52.65	20.2	19.26	0	0	0
20230321114455	20.05	0.16	-54.53	20.2	19.26	0	0	0
20230321114456	20.05	0.16	-54.53	20.2	19.26	0	0	0
20230321114457	20.05	0.16	-54.53	20.2	19.26	0	0	0
20230321114458	20.05	0.18	-53.55	20.21	19.26	0	0	0
20230321114459	20.05	0.08	-60.12	20.2	19.26	0	0	0
20230321114500	20.07	0.16	-54.52	20.2	19.26	0	0	0
20230321114502	20.07	0.12	-56.88	20.2	19.26	0	0	0
20230321114503	20.05	0.14	-55.64	20.21	19.26	0	0	0
20230321114504	20.05	0.1	-58.36	20.21	19.27	0	0	0
20230321114505	20.05	0.12	-56.89	20.2	19.27	0	0	0
