EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure
20230321101942	20.8	12.7	-8.97	20.08	19.38	0	0	0
20230321101943	20.82	12.65	-9.0	20.07	19.38	0	0	1
20230321101944	20.8	12.65	-9.02	20.06	19.37	0	0	0
20230321101945	20.8	12.62	-9.05	20.07	19.37	0	0	1
20230321101946	20.8	12.65	-9.02	20.06	19.36	0	0	1
20230321101947	20.79	12.67	-9.01	20.05	19.36	0	0	0
20230321101948	20.8	12.69	-8.98	20.05	19.37	0	0	0
20230321101949	20.79	12.74	-8.94	20.03	19.34	0	0	0
20230321101950	20.79	12.69	-8.99	20.02	19.34	0	0	0
