EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure	IsOkay
20230403121932	21.81	0.33	-47.36	23.7	49.98	1	1	1	1
20230403121933	21.87	0.11	-56.69	23.7	49.98	1	1	1	1
20230403121934	21.87	0.13	-55.33	23.7	49.98	1	1	1	1
20230403121935	21.85	0.09	-58.32	23.7	49.98	1	1	1	1
20230403121936	21.88	0.11	-56.69	23.7	49.98	1	1	1	1
20230403121937	21.87	0.09	-58.31	23.7	49.98	1	1	1	1
20230403121938	21.87	0.11	-56.69	23.7	49.98	1	1	1	1
20230403121939	21.87	0.15	-54.14	23.7	49.98	1	1	1	1
20230403121940	21.87	0.13	-55.33	23.7	49.98	1	1	1	1
20230403121941	21.85	0.11	-56.7	23.7	49.98	1	1	1	1
20230403121942	21.85	0.13	-55.34	23.7	49.98	1	1	1	1
20230403121943	21.88	0.09	-58.3	23.7	49.98	1	1	1	1
20230403121944	21.85	0.13	-55.34	23.7	49.98	1	1	1	1
20230403121945	21.87	0.09	-58.31	23.7	49.98	1	1	1	1
20230403121947	21.87	0.13	-55.33	23.7	49.98	1	1	1	1
20230403121948	21.85	0.11	-56.7	23.7	49.98	1	1	1	1
20230403121949	21.87	0.13	-55.33	23.7	49.98	1	1	1	1
20230403121950	21.85	0.09	-58.32	23.7	49.98	1	1	1	1
20230403121951	21.85	0.07	-60.3	23.7	49.98	1	1	1	1
20230403121952	21.85	0.15	-54.15	23.7	49.98	1	1	1	1
20230403121953	21.87	0.13	-55.33	23.7	49.98	1	1	1	1
20230403121954	21.88	0.09	-58.3	23.7	49.98	1	1	1	1
20230403121955	21.85	0.11	-56.7	23.7	49.98	1	1	1	1
20230403121956	21.87	0.07	-60.29	23.7	49.98	1	1	1	1
20230403121957	21.87	0.15	-54.14	23.7	49.98	1	1	1	1
20230403121958	21.87	0.17	-53.09	23.7	49.98	1	1	1	1
20230403121959	21.88	0.11	-56.69	23.7	49.98	1	1	1	1
20230403122000	21.87	0.11	-56.69	23.7	49.98	1	1	1	1
20230403122001	21.9	0.17	-53.08	23.7	50.0	1	1	1	1
20230403122002	21.9	0.09	-58.29	23.7	49.98	1	1	1	1
20230403122003	21.88	0.03	-66.67	23.7	50.0	1	1	1	1
20230403122005	21.9	0.11	-56.68	23.7	50.0	1	1	1	1
20230403122006	21.9	0.11	-56.68	23.7	50.0	1	1	1	1
20230403122007	21.9	0.11	-56.68	23.7	50.0	1	1	1	1
20230403122008	21.91	0.09	-58.29	23.7	50.0	1	1	1	1
20230403122009	21.9	0.11	-56.68	23.7	50.0	1	1	1	1
20230403122010	21.9	0.17	-53.08	23.7	50.0	1	1	1	1
20230403122011	21.9	0.09	-58.29	23.7	50.0	1	1	1	1
20230403122012	21.9	0.19	-52.13	23.7	50.0	1	1	1	1
20230403122013	21.91	0.07	-60.27	23.71	50.01	1	1	1	1
20230403122014	21.9	0.11	-56.68	23.72	50.01	1	1	1	1
20230403122015	21.9	0.13	-55.31	23.75	50.01	1	1	1	1
20230403122016	21.9	0.07	-60.27	23.76	50.03	1	1	1	1
20230403122017	21.93	0.13	-55.3	23.8	50.06	1	1	1	1
20230403122018	21.93	0.09	-58.28	23.81	50.06	1	1	1	1
20230403122019	21.91	0.11	-56.67	23.83	50.1	1	1	1	1
20230403122020	21.91	0.19	-52.13	23.86	50.1	1	1	1	1
20230403122021	21.94	0.05	-62.84	23.89	50.13	1	1	1	1
20230403122023	21.9	0.19	-52.13	23.9	50.13	1	1	1	1
20230403122024	21.94	0.07	-60.26	23.94	50.15	1	1	1	1
20230403122025	21.94	0.13	-55.29	23.95	50.18	1	1	1	1
20230403122026	21.93	0.09	-58.28	23.96	50.2	1	1	1	1
20230403122027	21.93	0.11	-56.66	23.99	50.21	1	1	1	1
20230403122028	21.94	0.09	-58.27	24.01	50.25	1	1	1	1
20230403122029	21.94	0.15	-54.11	24.02	50.26	1	1	1	1
20230403122030	21.95	0.13	-55.29	24.06	50.26	1	1	1	1
20230403122031	21.97	0.11	-56.64	24.06	50.28	1	1	1	1
20230403122032	21.97	0.11	-56.64	24.09	50.31	1	1	1	1
20230403122033	22.0	0.11	-56.63	24.11	50.33	1	1	1	1
