EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure
20230321103430	18.92	0.18	-54.14	22.38	19.58	0	0	0
20230321103431	18.9	0.24	-51.72	22.35	19.57	0	0	0
20230321103432	18.89	0.13	-56.83	22.33	19.56	0	0	0
20230321103433	18.92	0.16	-55.12	22.29	19.55	0	0	0
20230321103434	18.9	0.14	-56.22	22.25	19.53	0	0	0
20230321103435	18.89	0.22	-52.47	22.24	19.53	0	0	0
20230321103436	18.89	0.22	-52.47	22.2	19.52	0	0	0
20230321103437	18.9	0.24	-51.72	22.17	19.51	0	0	0
20230321103439	18.9	0.29	-50.09	22.15	19.51	0	0	0
20230321103440	18.89	0.14	-56.23	22.12	19.5	0	0	0
20230321103441	18.87	0.16	-55.14	22.1	19.49	0	0	0
20230321103442	18.86	0.22	-52.48	22.07	19.47	0	0	0
20230321103443	18.85	0.2	-53.29	22.04	19.46	0	0	0
20230321103444	18.87	0.14	-56.24	22.01	19.46	0	0	0
20230321103445	18.87	0.2	-53.28	21.98	19.45	0	0	0
20230321103446	18.86	0.2	-53.29	21.96	19.44	0	0	0
20230321103447	18.87	0.2	-53.28	21.92	19.43	0	0	0
20230321103448	18.86	0.24	-51.74	21.91	19.41	0	0	0
20230321103449	18.86	0.2	-53.29	21.88	19.4	0	0	0
20230321103450	18.87	0.2	-53.28	21.86	19.4	0	0	0
20230321103452	18.87	0.16	-55.14	21.82	19.39	0	0	0
20230321103453	18.86	0.22	-52.48	21.81	19.38	0	0	0
20230321103454	18.87	0.22	-52.48	21.77	19.38	0	0	0
20230321103455	18.85	0.32	-49.26	21.76	19.38	0	0	0
20230321103456	18.85	0.16	-55.15	21.73	19.36	0	0	0
20230321103457	18.87	0.2	-53.28	21.7	19.36	0	0	0
20230321103458	18.85	0.22	-52.49	21.68	19.33	0	0	0
20230321103459	18.86	0.2	-53.29	21.66	19.33	0	0	0
20230321103500	18.86	0.24	-51.74	21.63	19.33	0	0	0
20230321103501	18.86	0.24	-51.74	21.61	19.32	0	0	0
