EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure
20230321102523	18.52	0.33	-49.17	19.06	18.41	0	0	0
20230321102524	18.52	0.33	-49.17	19.06	18.41	0	0	0
20230321102525	18.49	0.33	-49.18	19.06	18.4	0	0	0
20230321102526	18.49	0.29	-50.31	19.05	18.4	0	0	0
20230321102527	18.51	0.27	-50.92	19.05	18.4	0	0	0
20230321102528	18.48	0.31	-49.74	19.05	18.4	0	0	0
20230321102529	18.45	0.33	-49.21	19.04	18.4	0	0	0
20230321102530	18.48	0.31	-49.74	19.04	18.4	0	0	0
20230321102531	18.45	0.33	-49.21	19.05	18.4	0	0	0
20230321102532	18.48	0.31	-49.74	19.04	18.4	0	0	0
20230321102534	18.48	0.35	-48.67	19.04	18.39	0	0	0
20230321102535	18.45	0.39	-47.73	19.04	18.39	0	0	0
20230321102536	18.46	0.31	-49.75	19.04	18.4	0	0	0
20230321102537	18.43	0.33	-49.22	19.04	18.4	0	0	0
20230321102538	18.46	0.25	-51.61	19.04	18.38	0	0	0
20230321102539	18.45	0.29	-50.33	19.04	18.39	0	0	0
20230321102540	18.45	0.29	-50.33	19.04	18.39	0	0	0
20230321102541	18.46	0.31	-49.75	19.04	18.38	0	0	0
20230321102542	18.43	0.31	-49.76	19.04	18.38	0	0	1
20230321102543	18.42	0.37	-48.21	19.04	18.38	0	0	0
20230321102544	18.39	0.33	-49.24	19.04	18.38	0	0	0
20230321102545	18.41	0.33	-49.23	19.04	18.38	0	0	0
20230321102546	18.41	0.37	-48.22	19.02	18.38	0	0	0
20230321102548	18.39	0.25	-51.64	19.01	18.36	0	0	0
20230321102549	18.41	0.29	-50.35	19.02	18.37	0	0	0
20230321102550	18.41	0.33	-49.23	19.02	18.37	0	0	0
20230321102551	18.41	0.27	-50.97	19.02	18.37	0	0	0
20230321102552	18.41	0.35	-48.71	19.02	18.37	0	0	0
20230321102553	18.39	0.37	-48.23	19.02	18.37	0	0	0
20230321102554	18.39	0.31	-49.79	19.02	18.36	0	0	0
20230321102555	18.38	0.29	-50.37	19.01	18.37	0	0	0
20230321102556	18.38	0.35	-48.73	19.01	18.36	0	0	0
20230321102557	18.38	0.29	-50.37	19.02	18.36	0	0	0
20230321102558	18.36	0.31	-49.8	19.01	18.36	0	0	0
20230321102559	18.36	0.29	-50.38	19.01	18.36	0	0	0
20230321102601	18.36	0.29	-50.38	19.01	18.36	0	0	0
20230321102602	18.35	0.31	-49.81	19.0	18.36	0	0	0
20230321102603	18.33	0.29	-50.4	19.01	18.36	0	0	0
20230321102604	18.33	0.34	-49.01	19.01	18.36	0	0	0
20230321102605	18.31	0.23	-52.4	19.0	18.36	0	0	0
20230321102606	18.32	0.29	-50.4	19.0	18.34	0	0	0
20230321102607	18.32	0.29	-50.4	19.0	18.36	0	0	0
20230321102608	18.32	0.27	-51.02	19.0	18.34	0	0	0
20230321102609	18.33	0.25	-51.68	18.99	18.34	0	0	0
20230321102610	18.31	0.27	-51.03	19.0	18.34	0	0	0
20230321102611	18.31	0.3	-50.11	18.99	18.34	0	0	0
20230321102612	18.31	0.27	-51.03	18.98	18.33	0	0	0
20230321102613	18.31	0.33	-49.28	18.99	18.34	0	0	0
20230321102614	18.29	0.33	-49.29	18.99	18.34	0	0	0
20230321102615	18.29	0.29	-50.42	18.99	18.33	0	0	0
20230321102616	18.29	0.27	-51.04	18.98	18.32	0	0	0
20230321102618	18.29	0.27	-51.04	18.99	18.33	0	0	0
20230321102619	18.28	0.3	-50.13	18.98	18.33	0	0	0
20230321102620	18.28	0.27	-51.04	18.99	18.32	0	0	0
20230321102621	18.27	0.34	-49.04	18.98	18.33	0	0	0
20230321102622	18.27	0.3	-50.14	18.98	18.32	0	0	0
20230321102623	18.27	0.28	-50.73	18.98	18.32	0	0	0
20230321102624	18.27	0.33	-49.3	18.98	18.32	0	0	0
20230321102625	18.28	0.3	-50.13	18.98	18.32	0	0	0
20230321102626	18.27	0.33	-49.3	18.98	18.31	0	0	0
20230321102627	18.24	0.27	-51.06	18.98	18.31	0	0	0
20230321102628	18.27	0.28	-50.73	18.97	18.32	0	0	0
20230321102629	18.28	0.29	-50.43	18.98	18.32	0	0	0
