EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure
20230321102120	20.17	6.01	-18.63	19.64	19.08	0	0	0
20230321102121	20.15	5.55	-19.57	19.63	19.07	0	0	0
20230321102122	20.14	4.99	-20.81	19.64	19.07	0	0	0
20230321102123	20.11	4.59	-21.8	19.64	19.06	0	0	0
20230321102124	20.11	4.07	-23.16	19.63	19.05	0	0	0
20230321102126	20.08	3.73	-24.16	19.63	19.05	0	0	0
20230321102127	20.09	3.49	-24.9	19.63	19.04	0	0	0
20230321102128	20.07	3.17	-25.98	19.63	19.04	0	0	0
20230321102129	20.08	2.93	-26.83	19.62	19.04	0	0	0
20230321102130	20.05	2.67	-27.86	19.62	19.04	0	0	0
20230321102131	20.04	2.51	-28.54	19.6	19.04	0	0	0
20230321102132	20.0	2.33	-29.36	19.59	19.02	0	0	0
20230321102133	20.01	2.03	-30.81	19.59	19.02	0	0	1
20230321102134	19.98	1.93	-31.36	19.59	19.04	0	0	0
20230321102135	20.0	1.78	-32.19	19.58	19.0	0	0	0
20230321102136	19.97	1.65	-33.0	19.58	19.0	0	0	0
20230321102137	19.95	1.65	-33.01	19.58	18.99	0	0	0
20230321102139	19.94	1.61	-33.27	19.58	18.99	0	0	0
20230321102140	19.95	1.43	-34.47	19.58	18.99	0	0	0
20230321102141	19.91	1.33	-35.23	19.57	18.99	0	0	0
20230321102142	19.92	1.37	-34.93	19.57	19.0	0	0	0
20230321102143	19.92	1.25	-35.85	19.57	18.98	0	0	0
20230321102144	19.88	1.19	-36.37	19.56	18.98	0	0	0
20230321102145	19.88	1.15	-36.71	19.55	18.97	0	0	0
20230321102146	19.87	1.13	-36.89	19.55	18.97	0	0	0
20230321102147	19.88	1.09	-37.24	19.55	18.97	0	0	0
20230321102148	19.85	0.99	-38.21	19.55	18.95	0	0	0
20230321102149	19.84	0.95	-38.62	19.53	18.94	0	0	0
20230321102150	19.84	0.91	-39.03	19.53	18.94	0	0	0
20230321102151	19.82	0.95	-38.63	19.53	18.94	0	0	0
20230321102152	19.81	0.91	-39.05	19.55	18.95	0	0	0
20230321102153	19.81	0.89	-39.27	19.53	18.94	0	0	0
20230321102154	19.81	0.83	-39.94	19.52	18.93	0	0	0
20230321102155	19.77	0.85	-39.74	19.52	18.93	0	0	0
20230321102157	19.77	0.77	-40.69	19.53	18.93	0	0	0
20230321102158	19.77	0.87	-39.51	19.52	18.92	0	0	0
20230321102159	19.78	0.85	-39.73	19.51	18.92	0	0	0
20230321102200	19.75	0.75	-40.95	19.51	18.91	0	0	0
20230321102201	19.74	0.77	-40.71	19.51	18.91	0	0	0
