EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure	IsOkay
20230331161605	-17.5	0.0	-100.21	-2.79	0.77	1	1	1	1
20230331161606	-17.44	0.0	-100.18	-2.73	0.79	1	1	1	1
20230331161607	-17.42	0.0	-100.17	-2.7	0.86	1	1	1	1
20230331161608	-17.38	0.0	-100.15	-2.67	0.86	1	1	1	1
20230331161609	-17.33	0.0	-100.13	-2.64	0.9	1	1	1	1
20230331161610	-17.33	0.0	-100.13	-2.61	0.95	1	1	1	1
20230331161611	-17.27	0.0	-100.1	-2.55	0.92	1	1	1	1
20230331161612	-17.26	0.0	-100.1	-2.52	0.95	1	1	1	1
20230331161613	-17.2	0.0	-100.07	-2.55	0.97	1	1	1	1
20230331161614	-17.17	0.0	-100.06	-2.5	1.01	1	1	1	1
20230331161615	-17.16	0.0	-100.05	-2.44	1.08	1	1	1	1
20230331161616	-17.1	0.0	-100.02	-2.38	1.1	1	1	1	1
20230331161617	-17.06	0.0	-100.0	-2.35	1.16	1	1	1	1
20230331161619	-17.02	0.0	-99.99	-2.32	1.18	1	1	1	1
20230331161620	-16.99	0.0	-99.97	-2.29	1.18	1	1	1	1
20230331161621	-16.96	0.0	-99.96	-2.24	1.2	1	1	1	1
20230331161622	-16.9	0.0	-99.93	-2.21	1.25	1	1	1	1
20230331161623	-16.89	0.0	-99.93	-2.18	1.25	1	1	1	1
20230331161624	-16.8	0.0	-99.89	-2.12	1.29	1	1	1	1
20230331161625	-16.79	0.0	-99.88	-2.1	1.33	1	1	1	1
20230331161626	-16.75	0.0	-99.86	-2.1	1.33	1	1	1	1
20230331161627	-16.72	0.0	-99.85	-1.98	1.39	1	1	1	1
20230331161628	-16.68	0.0	-99.83	-1.96	1.42	1	1	1	1
20230331161629	-16.65	0.0	-99.82	-1.9	1.42	1	1	1	1
20230331161630	-16.65	0.0	-99.82	-1.87	1.44	1	1	1	1
20230331161631	-16.64	0.0	-99.81	-1.82	1.46	1	1	1	1
20230331161632	-16.59	0.0	-99.79	-1.76	1.5	1	1	1	1
20230331161633	-16.55	0.0	-99.77	-1.74	1.54	1	1	1	1
20230331161634	-16.55	0.0	-99.77	-1.76	1.56	1	1	1	1
20230331161635	-16.49	0.0	-99.75	-1.66	1.58	1	1	1	1
20230331161636	-16.46	0.0	-99.73	-1.6	1.6	1	1	1	1
20230331161637	-16.44	0.0	-99.72	-1.58	1.62	1	1	1	1
20230331161639	-16.4	0.0	-99.7	-1.52	1.69	1	1	1	1
20230331161640	-16.41	0.0	-99.71	-1.55	1.71	1	1	1	1
20230331161641	-16.38	0.0	-99.69	-1.44	1.73	1	1	1	1
20230331161642	-16.3	0.0	-99.66	-1.44	1.73	1	1	1	1
20230331161643	-16.28	0.0	-99.65	-1.42	1.81	1	1	1	1
20230331161644	-16.27	0.0	-99.64	-1.39	1.79	1	1	1	1
20230331161645	-16.24	0.0	-99.63	-1.39	1.83	1	1	1	1
20230331161646	-16.22	0.0	-99.62	-1.5	1.81	1	1	1	1
20230331161647	-16.21	0.0	-99.62	-1.58	1.83	1	1	1	1
20230331161648	-16.18	0.0	-99.6	-1.63	1.79	1	1	1	1
