EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure
20230317125433	15.78	0.0	-90.45	18.74	0	0	0	0
20230317125434	15.78	0.0	-90.45	18.75	0	0	0	0
20230317125435	15.77	0.0	-90.45	18.74	0	0	0	0
20230317125436	15.77	0.0	-90.45	18.74	0	0	0	0
20230317125437	15.78	0.0	-90.45	18.74	0	0	0	0
20230317125438	15.77	0.0	-90.45	18.74	0	0	0	0
20230317125440	15.78	0.0	-90.45	18.74	0	0	0	0
20230317125441	15.78	0.0	-90.45	18.74	0	0	0	0
20230317125442	15.77	0.0	-90.45	18.74	0	0	0	0
20230317125443	15.8	0.0	-90.44	18.74	0	0	0	0
20230317125444	15.8	0.0	-90.44	18.74	0	0	0	0
20230317125445	15.77	0.0	-90.45	18.74	0	0	0	0
20230317125446	15.78	0.0	-90.45	18.75	0	0	0	0
20230317125447	15.8	0.0	-90.44	18.73	0	0	0	0
