EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure	IsOkay
20230403103703	20.59	0.1	-58.09	20.99	19.17	1	1	1	1
20230403103704	20.51	0.0	-88.82	20.98	19.17	1	1	1	1
20230403103705	20.56	0.11	-57.34	21.0	19.15	1	1	1	1
20230403103706	20.56	0.02	-70.13	20.99	19.17	1	1	1	1
20230403103707	20.58	0.07	-60.9	20.99	19.15	1	1	1	1
20230403103708	20.58	0.0	-88.79	21.0	19.17	1	1	1	1
20230403103709	20.56	0.07	-60.91	20.99	19.17	1	1	1	1
20230403103710	20.61	0.0	-88.78	20.99	19.17	1	1	1	1
20230403103711	20.58	0.02	-70.12	21.0	19.18	1	1	1	1
20230403103712	20.59	0.05	-63.47	20.98	19.17	1	1	1	1
20230403103713	20.58	0.02	-70.12	21.0	19.18	1	1	1	1
20230403103714	20.58	0.03	-67.24	21.0	19.18	1	1	1	1
20230403103715	20.61	0.0	-88.78	20.99	19.17	1	1	1	1
20230403103716	20.59	0.0	-88.79	21.0	19.15	1	1	1	1
20230403103718	20.58	0.03	-67.24	20.99	19.17	1	1	1	1
20230403103719	20.59	0.05	-63.47	21.0	19.17	1	1	1	1
20230403103720	20.58	0.0	-88.79	21.0	19.18	1	1	1	1
20230403103721	20.59	0.0	-88.79	21.0	19.18	1	1	1	1
20230403103722	20.61	0.02	-70.11	21.0	19.17	1	1	1	1
20230403103723	20.58	0.03	-67.24	21.0	19.17	1	1	1	1
20230403103724	20.61	0.05	-63.46	21.0	19.17	1	1	1	1
20230403103725	20.59	0.04	-65.14	21.02	19.18	1	1	1	1
20230403103726	20.62	0.1	-58.08	21.0	19.17	1	1	1	1
20230403103727	20.62	0.0	-88.78	21.02	19.17	1	1	1	1
20230403103728	20.62	0.05	-63.46	21.02	19.18	1	1	1	1
20230403103729	20.61	0.05	-63.46	21.03	19.18	1	1	1	1
20230403103730	20.63	0.0	-88.78	21.03	19.19	1	1	1	1
20230403103731	20.62	0.02	-70.11	21.03	19.19	1	1	1	1
20230403103732	20.63	0.04	-65.12	21.03	19.19	1	1	1	1
20230403103733	20.65	0.05	-63.44	21.03	19.19	1	1	1	1
20230403103734	20.63	0.05	-63.45	21.03	19.19	1	1	1	1
20230403103735	20.66	0.08	-59.82	21.03	19.21	1	1	1	1
20230403103736	20.68	0.0	-88.76	21.03	19.21	1	1	1	1
20230403103738	20.65	0.0	-88.77	21.05	19.22	1	1	1	1
20230403103739	20.66	0.02	-70.09	21.04	19.21	1	1	1	1
20230403103740	20.66	0.0	-88.77	21.04	19.22	1	1	1	1
20230403103741	20.66	0.0	-88.77	21.07	19.23	1	1	1	1
20230403103742	20.66	0.0	-88.77	21.07	19.23	1	1	1	1
20230403103743	20.68	0.0	-88.76	21.05	19.23	1	1	1	1
20230403103744	20.69	0.02	-70.08	21.07	19.23	1	1	1	1
20230403103745	20.68	0.0	-88.76	21.09	19.23	1	1	1	1
20230403103746	20.69	0.02	-70.08	21.13	19.25	1	1	1	1
20230403103747	20.69	0.02	-70.08	21.14	19.25	1	1	1	1
20230403103748	20.71	0.02	-70.07	21.16	19.29	1	1	1	1
20230403103749	20.71	0.0	-88.75	21.19	19.29	1	1	1	1
20230403103750	20.73	0.0	-88.74	21.23	19.32	1	1	1	1
20230403103751	20.72	0.02	-70.06	21.24	19.34	1	1	1	1
20230403103752	20.72	0.04	-65.08	21.27	19.36	1	1	1	1
20230403103753	20.72	0.08	-59.8	21.29	19.36	1	1	1	1
20230403103754	20.73	0.0	-88.74	21.32	19.38	1	1	1	1
20230403103755	20.75	0.02	-70.05	21.35	19.4	1	1	1	1
20230403103756	20.73	0.02	-70.06	21.39	19.44	1	1	1	1
20230403103757	20.75	0.02	-70.05	21.4	19.47	1	1	1	1
20230403103759	20.75	0.0	-88.73	21.42	19.45	1	1	1	1
20230403103800	20.76	0.0	-88.73	21.45	19.47	1	1	1	1
20230403103801	20.79	0.04	-65.04	21.47	19.49	1	1	1	1
20230403103802	20.79	0.02	-70.03	21.51	19.52	1	1	1	1
20230403103803	20.8	0.0	-88.72	21.52	19.54	1	1	1	1
20230403103804	20.8	0.04	-65.04	21.56	19.58	1	1	1	1
20230403103805	20.8	0.08	-59.76	21.58	19.58	1	1	1	1
20230403103806	20.82	0.0	-88.71	21.6	19.59	1	1	1	1
20230403103807	20.8	0.02	-70.03	21.61	19.62	1	1	1	1
20230403103808	20.83	0.0	-88.71	21.65	19.63	1	1	1	1
20230403103809	20.83	0.04	-65.03	21.67	19.65	1	1	1	1
20230403103810	20.86	0.06	-61.96	21.68	19.67	1	1	1	1
20230403103811	20.83	0.02	-70.02	21.71	19.7	1	1	1	1
20230403103812	20.87	0.0	-88.69	21.73	19.7	1	1	1	1
20230403103813	20.86	0.0	-88.7	21.76	19.73	1	1	1	1
20230403103814	20.87	0.0	-88.69	21.77	19.74	1	1	1	1
20230403103815	20.86	0.04	-65.01	21.8	19.74	1	1	1	1
20230403103816	20.92	0.0	-88.68	21.82	19.78	1	1	1	1
20230403103817	20.9	0.06	-61.94	21.85	19.8	1	1	1	1
20230403103818	20.9	0.06	-61.94	21.86	19.81	1	1	1	1
20230403103820	20.93	0.05	-63.31	21.9	19.84	1	1	1	1
20230403103821	20.92	0.0	-88.68	21.92	19.85	1	1	1	1
20230403103822	20.96	0.03	-67.07	21.93	19.87	1	1	1	1
20230403103823	20.95	0.11	-57.15	21.96	19.89	1	1	1	1
20230403103824	20.97	0.03	-67.07	21.98	19.91	1	1	1	1
20230403103825	21.0	0.07	-60.7	22.01	19.92	1	1	1	1
20230403103826	20.97	0.05	-63.29	22.02	19.94	1	1	1	1
20230403103827	20.99	0.01	-74.67	22.05	19.96	1	1	1	1
20230403103828	21.0	0.07	-60.7	22.06	19.96	1	1	1	1
20230403103829	21.0	0.07	-60.7	22.07	19.98	1	1	1	1
20230403103830	21.02	0.03	-67.05	22.11	20.02	1	1	1	1
20230403103831	21.02	0.01	-74.65	22.12	20.03	1	1	1	1
20230403103832	21.05	0.09	-58.71	22.14	20.03	1	1	1	1
20230403103833	21.06	0.01	-74.64	22.17	20.06	1	1	1	1
20230403103834	21.07	0.09	-58.7	22.19	20.07	1	1	1	1
20230403103835	21.06	0.05	-63.25	22.2	20.09	1	1	1	1
20230403103836	21.07	0.03	-67.02	22.24	20.1	1	1	1	1
20230403103837	21.09	0.03	-67.02	22.24	20.12	1	1	1	1
20230403103838	21.09	0.09	-58.69	22.25	20.12	1	1	1	1
20230403103839	21.09	0.07	-60.66	22.29	20.16	1	1	1	1
20230403103840	21.12	0.03	-67.0	22.29	20.16	1	1	1	1
20230403103842	21.13	0.07	-60.64	22.33	20.19	1	1	1	1
20230403103843	21.15	0.03	-66.99	22.34	20.2	1	1	1	1
20230403103844	21.15	0.09	-58.66	22.34	20.21	1	1	1	1
20230403103845	21.17	0.01	-74.59	22.36	20.21	1	1	1	1
