EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure	IsOkay
20230321134226	22.98	0.14	-54.15	23.1	20.8	1	1	1	1
20230321134227	23.01	0.22	-50.29	23.1	20.8	1	1	1	1
20230321134228	22.99	0.2	-51.13	23.1	20.8	1	1	1	1
20230321134229	22.99	0.22	-50.31	23.09	20.78	1	1	1	1
20230321134230	22.99	0.26	-48.84	23.09	20.78	1	1	1	1
20230321134231	22.98	0.22	-50.31	23.09	20.8	1	1	1	1
20230321134232	22.98	0.22	-50.31	23.07	20.8	1	1	1	1
20230321134233	22.98	0.24	-49.55	23.09	20.78	1	1	1	1
20230321134234	22.96	0.28	-48.21	23.09	20.78	1	1	1	1
20230321134235	22.98	0.26	-48.85	23.06	20.78	1	1	1	1
20230321134236	22.96	0.22	-50.32	23.06	20.78	1	1	1	1
20230321134237	22.96	0.28	-48.21	23.06	20.78	1	1	1	1
20230321134238	22.98	0.24	-49.55	23.05	20.77	1	1	1	1
20230321134239	22.96	0.24	-49.56	23.05	20.77	1	1	1	1
20230321134240	22.95	0.26	-48.87	23.05	20.78	1	1	1	1
20230321134241	22.96	0.18	-52.05	23.05	20.77	1	1	1	1
20230321134242	22.96	0.2	-51.14	23.05	20.76	1	1	1	1
20230321134243	22.95	0.24	-49.57	23.03	20.77	1	1	1	1
20230321134245	22.93	0.24	-49.58	23.03	20.76	1	1	1	1
20230321134246	22.95	0.16	-53.05	23.03	20.76	1	1	1	1
20230321134247	22.92	0.28	-48.23	23.03	20.77	1	1	1	1
20230321134248	22.93	0.26	-48.88	23.03	20.77	1	1	1	1
20230321134249	22.93	0.22	-50.34	23.03	20.76	1	1	1	1
20230321134250	22.93	0.26	-48.88	23.02	20.76	1	1	1	1
20230321134251	22.95	0.24	-49.57	23.01	20.75	1	1	1	1
20230321134252	22.89	0.24	-49.6	23.02	20.75	1	1	1	1
20230321134253	22.89	0.24	-49.6	23.01	20.75	1	1	1	1
20230321134254	22.92	0.28	-48.23	23.01	20.75	1	1	1	1
20230321134255	22.92	0.28	-48.23	23.01	20.74	1	1	1	1
20230321134256	22.91	0.16	-53.07	23.0	20.72	1	1	1	1
20230321134257	22.91	0.22	-50.35	22.98	20.74	1	1	1	1
20230321134258	22.91	0.2	-51.17	22.98	20.72	1	1	1	1
20230321134259	22.91	0.24	-49.59	22.98	20.72	1	1	1	1
20230321134300	22.91	0.24	-49.59	22.98	20.72	1	1	1	1
20230321134301	22.89	0.18	-52.08	22.98	20.72	1	1	1	1
20230321134302	22.89	0.22	-50.36	22.98	20.74	1	1	1	1
20230321134303	22.86	0.28	-48.26	22.97	20.72	1	1	1	1
20230321134304	22.88	0.22	-50.36	22.98	20.74	1	1	1	1
20230321134305	22.89	0.2	-51.18	22.97	20.72	1	1	1	1
20230321134307	22.89	0.18	-52.08	22.97	20.74	1	1	1	1
20230321134308	22.88	0.24	-49.61	22.94	20.71	1	1	1	1
20230321134309	22.86	0.28	-48.26	22.94	20.71	1	1	1	1
20230321134310	22.88	0.28	-48.25	22.94	20.72	1	1	1	1
20230321134311	22.88	0.22	-50.36	22.94	20.72	1	1	1	1
20230321134312	22.86	0.24	-49.62	22.96	20.72	1	1	1	1
20230321134313	22.85	0.22	-50.38	22.93	20.71	1	1	1	1
20230321134314	22.86	0.24	-49.62	22.94	20.72	1	1	1	1
20230321134315	22.85	0.24	-49.62	22.93	20.7	1	1	1	1
20230321134316	22.86	0.22	-50.37	22.93	20.71	1	1	1	1
20230321134317	22.86	0.22	-50.37	22.93	20.71	1	1	1	1
20230321134318	22.82	0.24	-49.64	22.92	20.7	1	1	1	1
