EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure	IsOkay
20230403115355	24.52	0.29	-47.06	25.14	23.14	1	1	1	1
20230403115356	24.48	0.24	-48.76	25.14	23.12	1	1	1	1
20230403115357	24.5	0.24	-48.75	25.14	23.13	1	1	1	1
20230403115358	24.48	0.16	-52.27	25.14	23.12	1	1	1	1
20230403115359	24.5	0.16	-52.26	25.14	23.12	1	1	1	1
20230403115400	24.47	0.2	-50.36	25.14	23.12	1	1	1	1
20230403115402	24.5	0.2	-50.34	25.14	23.12	1	1	1	1
20230403115403	24.48	0.24	-48.76	25.13	23.1	1	1	1	1
20230403115404	24.47	0.22	-49.53	25.13	23.12	1	1	1	1
20230403115405	24.47	0.26	-48.06	25.13	23.1	1	1	1	1
20230403115406	24.47	0.24	-48.77	25.11	23.1	1	1	1	1
20230403115407	24.47	0.26	-48.06	25.13	23.1	1	1	1	1
20230403115408	24.46	0.16	-52.28	25.11	23.1	1	1	1	1
20230403115409	24.46	0.24	-48.77	25.11	23.09	1	1	1	1
20230403115410	24.44	0.24	-48.78	25.11	23.1	1	1	1	1
20230403115411	24.44	0.26	-48.07	25.11	23.09	1	1	1	1
20230403115412	24.46	0.22	-49.53	25.1	23.1	1	1	1	1
20230403115413	24.47	0.26	-48.06	25.09	23.09	1	1	1	1
20230403115414	24.44	0.28	-47.41	25.09	23.09	1	1	1	1
20230403115415	24.43	0.24	-48.79	25.09	23.07	1	1	1	1
20230403115416	24.44	0.26	-48.07	25.09	23.09	1	1	1	1
20230403115417	24.44	0.22	-49.55	25.09	23.09	1	1	1	1
20230403115418	24.44	0.18	-51.28	25.09	23.09	1	1	1	1
20230403115419	24.41	0.28	-47.43	25.09	23.09	1	1	1	1
20230403115420	24.41	0.2	-50.39	25.09	23.09	1	1	1	1
20230403115421	24.41	0.22	-49.56	25.07	23.07	1	1	1	1
20230403115422	24.41	0.18	-51.3	25.09	23.07	1	1	1	1
20230403115424	24.43	0.22	-49.55	25.09	23.09	1	1	1	1
20230403115425	24.4	0.2	-50.4	25.07	23.07	1	1	1	1
20230403115426	24.38	0.22	-49.58	25.06	23.09	1	1	1	1
20230403115427	24.38	0.28	-47.44	25.06	23.07	1	1	1	1
20230403115428	24.38	0.22	-49.58	25.07	23.07	1	1	1	1
20230403115429	24.41	0.2	-50.39	25.06	23.07	1	1	1	1
20230403115430	24.41	0.24	-48.8	25.05	23.06	1	1	1	1
20230403115431	24.4	0.16	-52.31	25.06	23.07	1	1	1	1
20230403115432	24.4	0.22	-49.57	25.06	23.07	1	1	1	1
20230403115433	24.4	0.24	-48.8	25.06	23.06	1	1	1	1
20230403115434	24.4	0.2	-50.4	25.05	23.06	1	1	1	1
20230403115435	24.4	0.22	-49.57	25.04	23.04	1	1	1	1
20230403115436	24.37	0.18	-51.32	25.04	23.06	1	1	1	1
20230403115437	24.38	0.22	-49.58	25.04	23.04	1	1	1	1
20230403115438	24.38	0.24	-48.81	25.04	23.04	1	1	1	1
20230403115439	24.38	0.2	-50.41	25.04	23.06	1	1	1	1
20230403115440	24.4	0.22	-49.57	25.04	23.04	1	1	1	1
20230403115441	24.4	0.32	-46.23	25.04	23.06	1	1	1	1
20230403115442	24.4	0.18	-51.31	25.04	23.06	1	1	1	1
20230403115444	24.38	0.22	-49.58	25.02	23.04	1	1	1	1
20230403115445	24.37	0.26	-48.11	25.02	23.04	1	1	1	1
20230403115446	24.4	0.22	-49.57	25.02	23.06	1	1	1	1
20230403115447	24.37	0.26	-48.11	25.02	23.06	1	1	1	1
20230403115448	24.38	0.18	-51.32	25.02	23.04	1	1	1	1
20230403115449	24.41	0.26	-48.09	25.02	23.04	1	1	1	1
20230403115450	24.41	0.26	-48.09	25.01	23.04	1	1	1	1
20230403115451	24.4	0.28	-47.43	25.02	23.04	1	1	1	1
20230403115452	24.38	0.2	-50.41	25.01	23.04	1	1	1	1
20230403115453	24.38	0.22	-49.58	25.02	23.06	1	1	1	1
20230403115454	24.38	0.16	-52.32	25.0	23.04	1	1	1	1
20230403115455	24.41	0.14	-53.43	25.01	23.06	1	1	1	1
20230403115456	24.4	0.2	-50.4	25.01	23.06	1	1	1	1
20230403115457	24.4	0.28	-47.43	25.0	23.03	1	1	1	1
20230403115458	24.4	0.3	-46.82	25.01	23.04	1	1	1	1
20230403115459	24.38	0.22	-49.58	25.01	23.03	1	1	1	1
20230403115500	24.41	0.26	-48.09	25.0	23.04	1	1	1	1
20230403115501	24.41	0.16	-52.31	25.0	23.03	1	1	1	1
20230403115502	24.41	0.28	-47.43	25.0	23.04	1	1	1	1
20230403115504	24.41	0.3	-46.81	24.98	23.03	1	1	1	1
20230403115505	24.41	0.16	-52.31	24.98	23.03	1	1	1	1
20230403115506	24.41	0.2	-50.39	25.0	23.03	1	1	1	1
20230403115507	24.4	0.22	-49.57	25.0	23.04	1	1	1	1
20230403115508	24.43	0.22	-49.55	24.98	23.02	1	1	1	1
20230403115509	24.41	0.18	-51.3	24.98	23.04	1	1	1	1
20230403115510	24.41	0.22	-49.56	24.97	23.04	1	1	1	1
20230403115511	24.44	0.18	-51.28	24.98	23.03	1	1	1	1
20230403115512	24.41	0.22	-49.56	24.98	23.03	1	1	1	1
20230403115513	24.41	0.18	-51.3	24.98	23.03	1	1	1	1
20230403115514	24.41	0.26	-48.09	24.97	23.02	1	1	1	1
20230403115515	24.43	0.28	-47.42	24.98	23.02	1	1	1	1
20230403115516	24.44	0.24	-48.78	24.97	23.02	1	1	1	1
20230403115517	24.43	0.24	-48.79	24.97	23.03	1	1	1	1
