EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure
20230321101316	21.15	12.83	-8.56	20.88	19.76	0	0	1
20230321101318	21.15	12.7	-8.69	20.88	19.76	0	0	1
20230321101319	21.15	12.74	-8.65	20.89	19.75	0	0	0
20230321101320	21.15	12.78	-8.61	20.89	19.76	0	0	0
20230321101321	21.12	12.72	-8.7	20.88	19.76	0	0	1
20230321101322	21.15	12.72	-8.67	20.88	19.76	0	0	1
20230321101323	21.15	12.69	-8.7	20.88	19.77	0	0	0
20230321101324	21.15	12.69	-8.7	20.88	19.75	0	0	1
20230321101325	21.17	12.67	-8.71	20.88	19.75	0	0	1
20230321101326	21.12	12.65	-8.77	20.89	19.76	0	0	1
20230321101327	21.16	12.67	-8.72	20.88	19.75	0	0	1
20230321101328	21.17	12.7	-8.68	20.88	19.76	0	0	1
20230321101330	21.15	12.85	-8.54	20.88	19.75	0	0	1
20230321101331	21.16	12.78	-8.6	20.88	19.75	0	0	1
20230321101332	21.16	12.74	-8.65	20.88	19.75	0	0	1
20230321101333	21.16	12.74	-8.65	20.88	19.76	0	0	1
20230321101334	21.16	12.65	-8.74	20.88	19.75	0	0	0
20230321101335	21.17	12.63	-8.75	20.88	19.75	0	0	1
20230321101336	21.16	12.63	-8.76	20.88	19.76	0	0	1
20230321101337	21.17	12.7	-8.68	20.88	19.75	0	0	0
20230321101338	21.16	12.69	-8.7	20.88	19.75	0	0	0
20230321101339	21.17	12.67	-8.71	20.88	19.75	0	0	0
20230321101340	21.17	12.67	-8.71	20.88	19.75	0	0	0
20230321101341	21.16	12.67	-8.72	20.88	19.76	0	0	0
20230321101343	21.19	12.7	-8.66	20.89	19.76	0	0	0
20230321101344	21.19	12.72	-8.64	20.88	19.75	0	0	0
20230321101345	21.17	12.74	-8.64	20.88	19.75	0	0	0
20230321101346	21.16	12.69	-8.7	20.88	19.75	0	0	0
