EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure
20230318042357	20.29	0.07	-61.04	20.94	0	0	0	0
20230318042358	20.29	0.09	-59.08	20.94	0	0	0	0
20230318042359	20.28	0.09	-59.08	20.94	0	0	0	0
20230318042401	20.27	0.05	-63.62	20.94	0	0	0	0
20230318042402	20.29	0.05	-63.61	20.94	0	0	0	0
20230318042403	20.27	0.01	-74.96	20.94	0	0	0	0
20230318042404	20.29	0.05	-63.61	20.94	0	0	0	0
20230318042405	20.28	0.05	-63.61	20.95	0	0	0	0
20230318042406	20.28	0.0	-88.9	20.94	0	0	0	0
20230318042407	20.29	0.05	-63.61	20.94	0	0	0	0
20230318042408	20.28	0.07	-61.05	20.94	0	0	0	0
20230318042409	20.29	0.05	-63.61	20.94	0	0	0	0
20230318042410	20.28	0.07	-61.05	20.94	0	0	0	0
20230318042411	20.29	0.0	-88.89	20.94	0	0	0	0
20230318042412	20.29	0.0	-88.89	20.94	0	0	0	0
