EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure	IsOkay
20230321140042	20.71	0.62	-42.19	19.26	19.02	1	1	1	1
20230321140043	20.65	0.51	-44.05	19.26	19.02	1	1	1	1
20230321140044	20.63	0.6	-42.55	19.26	19.02	1	1	1	1
20230321140045	20.63	0.47	-44.82	19.26	19.02	1	1	1	1
20230321140046	20.62	0.5	-44.25	19.26	19.01	1	1	1	1
20230321140047	20.58	0.49	-44.46	19.27	19.01	1	1	1	1
20230321140048	20.59	0.49	-44.45	19.24	19.23	1	1	1	1
20230321140049	20.61	0.56	-43.21	19.18	19.63	1	1	1	1
20230321140050	20.59	0.45	-45.24	19.11	20.2	1	1	1	1
20230321140051	20.61	0.56	-43.21	19.02	20.84	1	1	1	1
20230321140052	20.61	0.45	-45.23	18.95	21.5	1	1	1	1
20230321140053	20.59	0.53	-43.73	18.87	22.14	1	1	1	1
20230321140054	20.58	0.49	-44.46	18.79	22.76	1	1	1	1
20230321140055	20.59	0.51	-44.09	18.73	23.35	1	1	1	1
20230321140056	20.61	0.45	-45.23	18.64	23.92	1	1	1	1
20230321140058	20.59	0.45	-45.24	18.57	24.44	1	1	1	1
20230321140059	20.62	0.45	-45.22	18.5	24.97	1	1	1	1
20230321140100	20.63	0.45	-45.21	18.44	25.43	1	1	1	1
20230321140101	20.63	0.5	-44.25	18.36	25.88	1	1	1	1
20230321140102	20.68	0.44	-45.39	18.29	26.33	1	1	1	1
20230321140103	20.69	0.46	-44.98	18.22	26.73	1	1	1	1
20230321140104	20.72	0.48	-44.57	18.16	27.12	1	1	1	1
20230321140105	20.73	0.48	-44.57	18.09	27.49	1	1	1	1
20230321140106	20.73	0.42	-45.79	18.02	27.83	1	1	1	1
20230321140107	20.78	0.46	-44.93	17.97	28.17	1	1	1	1
