EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure	IsOkay
20230331113050	19.23	0.05	-64.1	20.05	18.92	1	1	1	1
20230331113051	19.27	0.0	-89.24	20.05	18.93	1	1	1	1
20230331113052	19.27	0.0	-89.24	20.06	18.94	1	1	1	1
20230331113053	19.24	0.0	-89.25	20.06	18.94	1	1	1	1
20230331113054	19.29	0.0	-89.24	20.06	18.94	1	1	1	1
20230331113055	19.27	0.0	-89.24	20.06	18.93	1	1	1	1
20230331113056	19.29	0.02	-70.68	20.06	18.93	1	1	1	1
20230331113057	19.29	0.0	-89.24	20.07	18.94	1	1	1	1
20230331113058	19.29	0.0	-89.24	20.06	18.93	1	1	1	1
20230331113059	19.3	0.0	-89.23	20.07	18.94	1	1	1	1
20230331113100	19.27	0.0	-89.24	20.06	18.93	1	1	1	1
20230331113101	19.27	0.0	-89.24	20.07	18.93	1	1	1	1
20230331113102	19.3	0.0	-89.23	20.07	18.94	1	1	1	1
20230331113103	19.31	0.0	-89.23	20.07	18.94	1	1	1	1
20230331113104	19.27	0.0	-89.24	20.06	18.94	1	1	1	1
20230331113106	19.3	0.02	-70.67	20.08	18.94	1	1	1	1
20230331113107	19.3	0.0	-89.23	20.08	18.94	1	1	1	1
20230331113108	19.31	0.0	-89.23	20.08	18.94	1	1	1	1
20230331113109	19.3	0.0	-89.23	20.08	18.93	1	1	1	1
20230331113110	19.33	0.0	-89.22	20.08	18.94	1	1	1	1
20230331113111	19.3	0.0	-89.23	20.08	18.94	1	1	1	1
20230331113112	19.31	0.0	-89.23	20.08	18.94	1	1	1	1
20230331113113	19.31	0.04	-65.72	20.07	18.93	1	1	1	1
20230331113114	19.31	0.04	-65.72	20.08	18.95	1	1	1	1
20230331113115	19.33	0.0	-89.22	20.08	18.95	1	1	1	1
20230331113116	19.33	0.02	-70.66	20.08	18.95	1	1	1	1
20230331113117	19.33	0.02	-70.66	20.07	18.94	1	1	1	1
20230331113118	19.33	0.0	-89.22	20.07	18.93	1	1	1	1
20230331113119	19.34	0.0	-89.22	20.07	18.94	1	1	1	1
20230331113120	19.31	0.0	-89.23	20.07	18.94	1	1	1	1
20230331113121	19.33	0.0	-89.22	20.08	18.94	1	1	1	1
20230331113123	19.33	0.02	-70.66	20.07	18.95	1	1	1	1
20230331113124	19.31	0.0	-89.23	20.08	18.94	1	1	1	1
20230331113125	19.31	0.0	-89.23	20.08	18.95	1	1	1	1
20230331113126	19.33	0.0	-89.22	20.07	18.93	1	1	1	1
20230331113127	19.31	0.0	-89.23	20.08	18.93	1	1	1	1
20230331113128	19.33	0.0	-89.22	20.07	18.94	1	1	1	1
20230331113129	19.33	0.02	-70.66	20.08	18.94	1	1	1	1
20230331113130	19.33	0.0	-89.22	20.08	18.93	1	1	1	1
20230331113131	19.33	0.04	-65.71	20.07	18.93	1	1	1	1
20230331113132	19.34	0.0	-89.22	20.08	18.94	1	1	1	1
20230331113133	19.33	0.0	-89.22	20.08	18.94	1	1	1	1
20230331113134	19.33	0.0	-89.22	20.07	19.01	1	1	1	1
20230331113135	19.34	0.02	-70.66	20.02	19.23	1	1	1	1
20230331113136	19.34	0.02	-70.66	19.99	19.44	1	1	1	1
20230331113137	19.34	0.0	-89.22	19.97	19.63	1	1	1	1
20230331113138	19.33	0.0	-89.22	19.93	19.76	1	1	1	1
20230331113139	19.36	0.0	-89.21	19.9	19.84	1	1	1	1
20230331113140	19.39	0.0	-89.2	19.88	19.93	1	1	1	1
20230331113142	19.36	0.04	-65.7	19.85	19.97	1	1	1	1
20230331113143	19.4	0.0	-89.2	19.83	20.01	1	1	1	1
20230331113144	19.43	0.0	-89.19	19.81	20.05	1	1	1	1
20230331113145	19.44	0.02	-70.61	19.78	20.07	1	1	1	1
20230331113146	19.43	0.0	-89.19	19.76	20.08	1	1	1	1
20230331113147	19.44	0.0	-89.18	19.72	20.08	1	1	1	1
20230331113148	19.47	0.0	-89.17	19.72	20.09	1	1	1	1
20230331113149	19.49	0.0	-89.17	19.69	20.07	1	1	1	1
20230331113150	19.47	0.0	-89.17	19.68	20.08	1	1	1	1
