EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure	IsOkay
20230328161501	21.37	0.2	-51.97	21.42	20.0	1	1	1	1
20230328161502	21.33	0.1	-57.73	21.42	19.99	1	1	1	1
20230328161503	21.36	0.1	-57.71	21.42	19.99	1	1	1	1
20230328161504	21.36	0.13	-55.58	21.42	19.99	1	1	1	1
20230328161505	21.34	0.07	-60.54	21.42	19.99	1	1	1	1
20230328161506	21.33	0.04	-64.8	21.42	20.0	1	1	1	1
20230328161507	21.36	0.1	-57.71	21.41	19.99	1	1	1	1
20230328161508	21.34	0.12	-56.25	21.41	19.99	1	1	1	1
20230328161509	21.33	0.1	-57.73	21.37	19.99	1	1	1	1
20230328161510	21.33	0.12	-56.25	21.31	19.97	1	1	1	1
20230328161512	21.34	0.07	-60.54	21.24	19.95	1	1	1	1
20230328161513	21.34	0.07	-60.54	21.15	19.91	1	1	1	1
20230328161514	21.34	0.1	-57.72	21.09	19.88	1	1	1	1
20230328161515	21.36	0.1	-57.71	21.02	19.85	1	1	1	1
20230328161516	21.34	0.12	-56.25	20.93	19.8	1	1	1	1
20230328161517	21.33	0.07	-60.55	20.84	19.76	1	1	1	1
20230328161518	21.34	0.07	-60.54	20.77	19.71	1	1	1	1
20230328161519	21.34	0.06	-61.73	20.69	19.66	1	1	1	1
20230328161520	21.33	0.1	-57.73	20.63	19.62	1	1	1	1
20230328161521	21.33	0.13	-55.6	20.55	19.57	1	1	1	1
20230328161522	21.31	0.1	-57.74	20.47	19.52	1	1	1	1
20230328161523	21.34	0.12	-56.25	20.41	19.47	1	1	1	1
20230328161524	21.33	0.12	-56.25	20.34	19.43	1	1	1	1
20230328161525	21.33	0.07	-60.55	20.31	19.38	1	1	1	1
20230328161526	21.33	0.1	-57.73	20.31	19.34	1	1	1	1
20230328161527	21.31	0.07	-60.56	20.31	19.32	1	1	1	1
20230328161528	21.31	0.11	-56.97	20.31	19.3	1	1	1	1
20230328161529	21.31	0.07	-60.56	20.32	19.28	1	1	1	1
20230328161530	21.31	0.11	-56.97	20.34	19.27	1	1	1	1
20230328161531	21.3	0.13	-55.61	20.35	19.27	1	1	1	1
20230328161532	21.31	0.05	-63.14	20.37	19.27	1	1	1	1
