EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure
20230321105319	18.32	0.21	-53.16	18.68	18.33	0	0	0
20230321105320	18.33	0.17	-54.92	18.7	18.34	0	0	0
20230321105321	18.32	0.19	-54.0	18.7	18.36	0	0	0
20230321105322	18.33	0.15	-55.95	18.71	18.36	0	0	0
20230321105323	18.33	0.15	-55.95	18.71	18.36	0	0	0
20230321105324	18.33	0.15	-55.95	18.71	18.36	0	0	0
20230321105325	18.33	0.17	-54.92	18.71	18.36	0	0	0
20230321105326	18.35	0.09	-60.03	18.71	18.36	0	0	0
20230321105327	18.35	0.11	-58.44	18.71	18.37	0	0	0
20230321105329	18.35	0.11	-58.44	18.72	18.37	0	0	0
20230321105330	18.33	0.13	-57.11	18.71	18.36	0	0	0
20230321105331	18.36	0.13	-57.1	18.71	18.37	0	0	0
20230321105332	18.33	0.17	-54.92	18.72	18.37	0	0	0
20230321105333	18.33	0.13	-57.11	18.72	18.37	0	0	0
20230321105334	18.35	0.13	-57.1	18.72	18.37	0	0	0
20230321105335	18.36	0.15	-55.93	18.72	18.36	0	0	0
20230321105336	18.36	0.17	-54.9	18.72	18.37	0	0	0
20230321105337	18.38	0.09	-60.01	18.73	18.37	0	0	0
20230321105338	18.33	0.11	-58.45	18.72	18.37	0	0	0
20230321105340	18.38	0.21	-53.13	18.73	18.37	0	0	0
20230321105341	18.38	0.11	-58.43	18.74	18.37	0	0	0
20230321105342	18.39	0.17	-54.89	18.73	18.37	0	0	0
20230321105343	18.38	0.17	-54.89	18.73	18.37	0	0	0
20230321105344	18.38	0.17	-54.89	18.73	18.38	0	0	0
20230321105345	18.39	0.15	-55.92	18.73	18.38	0	0	0
20230321105346	18.38	0.17	-54.89	18.74	18.38	0	0	0
20230321105347	18.36	0.17	-54.9	18.73	18.38	0	0	0
20230321105348	18.41	0.15	-55.91	18.74	18.39	0	0	0
20230321105350	18.42	0.13	-57.07	18.73	18.39	0	0	0
20230321105351	18.41	0.17	-54.88	18.75	18.39	0	0	0
20230321105352	18.39	0.19	-53.96	18.74	18.4	0	0	0
20230321105353	18.39	0.15	-55.92	18.73	18.38	0	0	0
20230321105354	18.43	0.21	-53.1	18.75	18.39	0	0	0
