EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure	IsOkay
20230328160749	21.07	0.03	-67.02	21.35	19.94	1	1	1	1
20230328160750	21.05	0.07	-60.68	21.36	19.94	1	1	1	1
20230328160751	21.07	0.01	-74.63	21.35	19.93	1	1	1	1
20230328160752	21.06	0.11	-57.09	21.36	19.93	1	1	1	1
20230328160754	21.09	0.11	-57.08	21.36	19.93	1	1	1	1
20230328160755	21.06	0.15	-54.55	21.35	19.93	1	1	1	1
20230328160756	21.07	0.09	-58.7	21.31	19.93	1	1	1	1
20230328160757	21.06	0.09	-58.7	21.25	19.91	1	1	1	1
20230328160758	21.07	0.11	-57.09	21.19	19.9	1	1	1	1
20230328160759	21.09	0.11	-57.08	21.11	19.87	1	1	1	1
