EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure	IsOkay
20230321140607	20.28	0.3	-49.04	11.65	17.08	1	1	1	1
20230321140608	20.19	0.18	-53.48	11.64	17.07	1	1	1	1
20230321140609	20.18	0.18	-53.48	11.62	17.06	1	1	1	1
20230321140610	20.17	0.16	-54.47	11.62	17.04	1	1	1	1
20230321140611	20.15	0.14	-55.59	11.6	17.03	1	1	1	1
20230321140612	20.14	0.14	-55.59	11.59	17.04	1	1	1	1
20230321140613	20.14	0.26	-50.37	11.57	17.01	1	1	1	1
20230321140614	20.12	0.18	-53.52	11.56	17.01	1	1	1	1
20230321140615	20.08	0.18	-53.54	11.56	17.0	1	1	1	1
20230321140617	20.08	0.1	-58.34	11.53	16.98	1	1	1	1
20230321140618	20.07	0.2	-52.65	11.54	16.99	1	1	1	1
20230321140619	20.04	0.18	-53.56	11.5	16.96	1	1	1	1
20230321140620	20.01	0.22	-51.87	11.5	16.94	1	1	1	1
20230321140621	20.0	0.16	-54.56	11.48	16.94	1	1	1	1
20230321140622	19.95	0.19	-53.15	11.46	16.93	1	1	1	1
20230321140623	19.94	0.23	-51.53	11.46	16.93	1	1	1	1
20230321140624	19.97	0.2	-52.71	11.44	16.91	1	1	1	1
20230321140625	19.92	0.13	-56.31	11.45	16.91	1	1	1	1
20230321140626	19.91	0.16	-54.61	11.43	16.88	1	1	1	1
20230321140627	19.88	0.17	-54.12	11.42	16.88	1	1	1	1
20230321140628	19.87	0.13	-56.33	11.42	16.88	1	1	1	1
20230321140629	19.81	0.13	-56.36	11.38	16.85	1	1	1	1
20230321140630	19.84	0.23	-51.58	11.37	16.85	1	1	1	1
20230321140631	19.82	0.17	-54.15	11.37	16.84	1	1	1	1
20230321140632	19.8	0.11	-57.72	11.35	16.83	1	1	1	1
20230321140633	19.78	0.15	-55.21	11.34	16.81	1	1	1	1
20230321140634	19.75	0.23	-51.63	11.33	16.81	1	1	1	1
20230321140635	19.74	0.09	-59.35	11.32	16.8	1	1	1	1
20230321140636	19.74	0.13	-56.4	11.32	16.78	1	1	1	1
20230321140638	19.68	0.17	-54.22	11.3	16.78	1	1	1	1
20230321140639	19.67	0.13	-56.43	11.29	16.78	1	1	1	1
20230321140640	19.68	0.17	-54.22	11.28	16.76	1	1	1	1
20230321140641	19.68	0.13	-56.43	11.27	16.74	1	1	1	1
20230321140642	19.64	0.17	-54.24	11.27	16.74	1	1	1	1
20230321140643	19.63	0.17	-54.25	11.25	16.73	1	1	1	1
20230321140644	19.6	0.16	-54.77	11.25	16.74	1	1	1	1
20230321140645	19.6	0.16	-54.77	11.23	16.72	1	1	1	1
20230321140646	19.58	0.18	-53.8	11.22	16.71	1	1	1	1
20230321140647	19.57	0.18	-53.8	11.2	16.69	1	1	1	1
20230321140648	19.54	0.12	-57.15	11.2	16.69	1	1	1	1
20230321140649	19.51	0.12	-57.16	11.19	16.68	1	1	1	1
20230321140650	19.5	0.16	-54.82	11.19	16.68	1	1	1	1
20230321140651	19.49	0.18	-53.84	11.17	16.66	1	1	1	1
20230321140652	19.47	0.16	-54.83	11.16	16.66	1	1	1	1
20230321140653	19.43	0.1	-58.66	11.16	16.65	1	1	1	1
20230321140654	19.43	0.12	-57.2	11.14	16.64	1	1	1	1
20230321140655	19.43	0.14	-55.95	11.14	16.64	1	1	1	1
20230321140656	19.4	0.2	-53.0	11.12	16.63	1	1	1	1
20230321140657	19.39	0.2	-53.01	11.11	16.62	1	1	1	1
20230321140659	19.37	0.06	-62.66	11.11	16.61	1	1	1	1
20230321140700	19.34	0.18	-53.92	11.11	16.59	1	1	1	1
20230321140701	19.33	0.2	-53.04	11.09	16.59	1	1	1	1
20230321140702	19.33	0.22	-52.23	11.09	16.58	1	1	1	1
20230321140703	19.3	0.14	-56.02	11.07	16.57	1	1	1	1
20230321140704	19.29	0.1	-58.73	11.06	16.57	1	1	1	1
20230321140705	19.27	0.23	-51.89	11.07	16.57	1	1	1	1
20230321140706	19.23	0.17	-54.45	11.04	16.56	1	1	1	1
20230321140707	19.21	0.15	-55.5	11.03	16.55	1	1	1	1
20230321140708	19.19	0.17	-54.47	11.02	16.54	1	1	1	1
20230321140709	19.17	0.17	-54.49	11.01	16.53	1	1	1	1
