EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure	IsOkay
20230321135736	21.25	0.21	-51.62	20.2	19.57	1	1	1	1
20230321135737	21.27	0.17	-53.4	20.2	19.55	1	1	1	1
20230321135738	21.25	0.17	-53.41	20.2	19.55	1	1	1	1
20230321135739	21.25	0.13	-55.64	20.2	19.55	1	1	1	1
20230321135740	21.25	0.15	-54.46	20.2	19.53	1	1	1	1
20230321135741	21.23	0.13	-55.65	20.2	19.53	1	1	1	1
20230321135742	21.22	0.11	-57.01	20.17	19.72	1	1	1	1
20230321135743	21.23	0.15	-54.47	20.12	20.14	1	1	1	1
20230321135744	21.22	0.15	-54.47	20.06	20.71	1	1	1	1
20230321135745	21.2	0.09	-58.63	19.97	21.34	1	1	1	1
20230321135746	21.22	0.11	-57.01	19.88	21.97	1	1	1	1
20230321135747	21.23	0.15	-54.47	19.82	22.59	1	1	1	1
20230321135748	21.25	0.11	-57.0	19.72	23.2	1	1	1	1
20230321135749	21.23	0.21	-51.63	19.65	23.76	1	1	1	1
20230321135750	21.26	0.11	-56.99	19.57	24.33	1	1	1	1
20230321135751	21.26	0.13	-55.63	19.5	24.84	1	1	1	1
20230321135752	21.27	0.17	-53.4	19.43	25.35	1	1	1	1
20230321135753	21.29	0.1	-57.75	19.36	25.81	1	1	1	1
20230321135754	21.31	0.1	-57.74	19.28	26.27	1	1	1	1
20230321135756	21.34	0.12	-56.25	19.21	26.69	1	1	1	1
20230321135757	21.34	0.1	-57.72	19.15	27.09	1	1	1	1
20230321135758	21.37	0.23	-50.77	19.08	27.46	1	1	1	1
20230321135759	21.37	0.13	-55.58	19.02	27.83	1	1	1	1
20230321135800	21.4	0.16	-53.84	18.95	28.17	1	1	1	1
20230321135801	21.44	0.16	-53.82	18.9	28.49	1	1	1	1
20230321135802	21.44	0.22	-51.12	18.84	28.77	1	1	1	1
20230321135803	21.47	0.2	-51.92	18.78	29.06	1	1	1	1
20230321135804	21.49	0.18	-52.81	18.73	29.32	1	1	1	1
20230321135805	21.5	0.16	-53.79	18.67	29.61	1	1	1	1
20230321135806	21.51	0.16	-53.79	18.63	29.84	1	1	1	1
20230321135807	21.56	0.14	-54.87	18.57	30.06	1	1	1	1
20230321135808	21.57	0.14	-54.87	18.52	30.3	1	1	1	1
20230321135809	21.6	0.12	-56.12	18.46	30.5	1	1	1	1
20230321135810	21.6	0.16	-53.74	18.41	30.65	1	1	1	1
20230321135811	21.64	0.12	-56.1	18.37	30.86	1	1	1	1
20230321135812	21.7	0.18	-52.7	18.31	31.04	1	1	1	0
20230321135814	21.7	0.21	-51.38	18.29	31.19	1	1	1	0
20230321135815	21.74	0.15	-54.21	18.26	31.14	1	1	1	0
20230321135816	21.74	0.13	-55.39	18.29	30.9	1	1	1	0
20230321135817	21.8	0.17	-53.13	18.32	30.54	1	1	1	0
20230321135818	21.8	0.15	-54.18	18.34	30.09	1	1	1	0
20230321135819	21.81	0.17	-53.12	18.38	29.64	1	1	1	0
20230321135820	21.83	0.19	-52.17	18.41	29.18	1	1	1	0
20230321135821	21.83	0.13	-55.35	18.44	28.77	1	1	1	0
20230321135822	21.87	0.17	-53.09	18.47	28.35	1	1	1	0
20230321135823	21.84	0.17	-53.11	18.5	27.94	1	1	1	0
20230321135824	21.9	0.15	-54.13	18.53	27.54	1	1	1	0
20230321135825	21.88	0.15	-54.14	18.58	27.18	1	1	1	0
