EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure	IsOkay
20230321133604	24.27	0.3	-46.89	19.51	34.3	1	1	1	1
20230321133605	24.37	0.32	-46.25	19.52	34.27	1	1	1	1
20230321133606	24.38	0.3	-46.83	19.53	34.32	1	1	1	1
20230321133607	24.37	0.22	-49.58	19.56	34.32	1	1	1	1
20230321133608	24.4	0.32	-46.23	19.57	34.32	1	1	1	1
20230321133609	24.43	0.32	-46.22	19.59	34.32	1	1	1	1
20230321133610	24.44	0.24	-48.78	19.6	34.35	1	1	1	1
20230321133611	24.46	0.34	-45.65	19.62	34.35	1	1	1	1
20230321133612	24.46	0.34	-45.65	19.64	34.32	1	1	1	1
20230321133614	24.48	0.26	-48.05	19.64	34.37	1	1	1	1
20230321133615	24.52	0.31	-46.45	19.66	34.37	1	1	1	1
20230321133616	24.55	0.31	-46.44	19.66	34.4	1	1	1	1
20230321133617	24.54	0.29	-47.04	19.7	34.37	1	1	1	1
20230321133618	24.57	0.33	-45.86	19.71	34.4	1	1	1	1
20230321133619	24.58	0.31	-46.42	19.72	34.42	1	1	1	1
20230321133620	24.6	0.29	-47.01	19.74	34.42	1	1	1	1
20230321133621	24.6	0.27	-47.65	19.76	34.44	1	1	1	1
20230321133622	24.63	0.25	-48.32	19.78	34.42	1	1	1	1
20230321133623	24.66	0.29	-46.98	19.77	34.44	1	1	1	1
20230321133624	24.67	0.31	-46.37	19.81	34.47	1	1	1	1
20230321133625	24.7	0.23	-49.02	19.83	34.47	1	1	1	1
20230321133626	24.71	0.37	-44.74	19.82	34.47	1	1	1	1
20230321133627	24.72	0.35	-45.24	19.84	34.47	1	1	1	1
20230321133628	24.75	0.27	-47.57	19.87	34.47	1	1	1	1
20230321133629	24.77	0.25	-48.25	19.87	34.49	1	1	1	1
20230321133630	24.79	0.33	-45.74	19.89	34.49	1	1	1	1
20230321133631	24.81	0.33	-45.73	19.91	34.49	1	1	1	1
20230321133632	24.79	0.29	-46.91	19.91	34.49	1	1	1	1
20230321133634	24.82	0.29	-46.89	19.93	34.49	1	1	1	1
20230321133635	24.84	0.35	-45.18	19.95	34.52	1	1	1	1
20230321133636	24.84	0.27	-47.52	19.96	34.54	1	1	1	1
20230321133637	24.85	0.25	-48.2	19.99	34.52	1	1	1	1
20230321133638	24.88	0.36	-44.9	20.0	34.54	1	1	1	1
20230321133639	24.91	0.36	-44.88	20.01	34.54	1	1	1	1
20230321133640	24.92	0.32	-45.95	20.02	34.54	1	1	1	1
20230321133641	24.94	0.3	-46.52	20.03	34.54	1	1	1	1
20230321133642	24.97	0.38	-44.35	20.06	34.57	1	1	1	1
20230321133643	25.01	0.34	-45.35	20.08	34.57	1	1	1	1
20230321133644	25.01	0.32	-45.9	20.08	34.57	1	1	1	1
20230321133645	25.05	0.3	-46.47	20.09	34.59	1	1	1	1
20230321133646	25.05	0.26	-47.75	20.12	34.59	1	1	1	1
20230321133647	25.06	0.34	-45.32	20.12	34.62	1	1	1	1
20230321133648	25.1	0.36	-44.78	20.14	34.62	1	1	1	1
20230321133649	25.14	0.38	-44.26	20.17	34.59	1	1	1	1
20230321133650	25.12	0.28	-47.05	20.18	34.62	1	1	1	1
20230321133651	25.17	0.34	-45.26	20.18	34.62	1	1	1	1
20230321133652	25.18	0.33	-45.53	20.2	34.64	1	1	1	1
20230321133654	25.18	0.34	-45.26	20.21	34.64	1	1	1	1
20230321133655	25.19	0.33	-45.53	20.23	34.67	1	1	1	1
20230321133656	25.22	0.33	-45.51	20.25	34.64	1	1	1	1
20230321133657	25.22	0.37	-44.46	20.27	34.64	1	1	1	1
20230321133658	25.25	0.33	-45.49	20.27	34.67	1	1	1	1
20230321133659	25.23	0.33	-45.5	20.29	34.52	1	1	1	1
20230321133700	25.29	0.37	-44.42	20.31	34.23	1	1	1	1
20230321133701	25.32	0.29	-46.63	20.32	33.85	1	1	1	1
20230321133702	25.29	0.33	-45.47	20.32	33.36	1	1	1	1
20230321133703	25.31	0.31	-46.03	20.37	32.85	1	1	1	1
20230321133704	25.32	0.31	-46.02	20.42	32.36	1	1	1	1
20230321133705	25.33	0.39	-43.91	20.47	31.84	1	1	1	1
20230321133706	25.33	0.33	-45.45	20.55	31.35	1	1	1	1
20230321133707	25.33	0.33	-45.45	20.61	30.85	1	1	1	1
20230321133708	25.33	0.35	-44.91	20.67	30.39	1	1	1	1
20230321133709	25.32	0.37	-44.41	20.75	29.95	1	1	1	1
20230321133710	25.33	0.33	-45.45	20.82	29.54	1	1	1	1
20230321133711	25.32	0.31	-46.02	20.88	29.13	1	1	1	1
20230321133713	25.32	0.35	-44.92	20.95	28.75	1	1	1	1
20230321133714	25.32	0.35	-44.92	21.0	28.4	1	1	1	1
20230321133715	25.29	0.33	-45.47	21.08	28.04	1	1	1	1
20230321133716	25.29	0.31	-46.04	21.13	27.7	1	1	1	1
20230321133717	25.29	0.33	-45.47	21.19	27.38	1	1	1	1
20230321133718	25.28	0.27	-47.29	21.25	27.1	1	1	1	1
20230321133719	25.28	0.37	-44.43	21.29	26.79	1	1	1	1
20230321133720	25.25	0.33	-45.49	21.35	26.52	1	1	1	1
20230321133721	25.22	0.31	-46.08	21.4	26.27	1	1	1	1
20230321133722	25.21	0.38	-44.22	21.45	26.0	1	1	1	1
20230321133723	25.21	0.38	-44.22	21.5	25.75	1	1	1	1
20230321133724	25.22	0.38	-44.21	21.55	25.53	1	1	1	1
20230321133725	25.18	0.33	-45.53	21.61	25.32	1	1	1	1
20230321133726	25.17	0.3	-46.4	21.65	25.12	1	1	1	1
20230321133727	25.15	0.34	-45.27	21.68	24.91	1	1	1	1
20230321133728	25.11	0.28	-47.05	21.72	24.73	1	1	1	1
20230321133729	25.11	0.34	-45.3	21.76	24.56	1	1	1	1
20230321133730	25.08	0.3	-46.45	21.81	24.38	1	1	1	1
20230321133731	25.06	0.36	-44.8	21.85	24.22	1	1	1	1
20230321133732	25.03	0.32	-45.89	21.88	24.07	1	1	1	1
20230321133733	25.03	0.24	-48.47	21.92	23.92	1	1	1	1
20230321133735	25.02	0.34	-45.35	21.97	23.79	1	1	1	1
20230321133736	25.01	0.32	-45.9	22.0	23.65	1	1	1	1
20230321133737	24.98	0.34	-45.37	22.04	23.53	1	1	1	1
20230321133738	24.95	0.38	-44.36	22.07	23.43	1	1	1	1
20230321133739	24.94	0.28	-47.15	22.11	23.31	1	1	1	1
20230321133740	24.91	0.34	-45.41	22.14	23.22	1	1	1	1
20230321133741	24.9	0.3	-46.55	22.17	23.1	1	1	1	1
20230321133742	24.85	0.29	-46.88	22.2	23.0	1	1	1	1
20230321133743	24.87	0.33	-45.7	22.24	22.92	1	1	1	1
20230321133744	24.84	0.29	-46.88	22.25	22.83	1	1	1	1
20230321133745	24.81	0.27	-47.54	22.29	22.75	1	1	1	1
