EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure	IsOkay
20230321140202	22.1	0.4	-45.47	15.98	33.59	1	1	1	1
20230321140203	22.18	0.4	-45.42	15.96	33.64	1	1	1	1
20230321140205	22.21	0.36	-46.36	15.95	33.66	1	1	1	1
20230321140206	22.24	0.32	-47.41	15.91	33.68	1	1	1	1
20230321140207	22.25	0.44	-44.51	15.9	33.71	1	1	1	1
20230321140208	22.27	0.42	-44.93	15.89	33.73	1	1	1	1
20230321140209	22.29	0.36	-46.32	15.86	33.71	1	1	1	1
20230321140210	22.31	0.42	-44.9	15.83	33.73	1	1	1	1
20230321140211	22.35	0.34	-46.8	15.81	33.73	1	1	1	1
20230321140212	22.34	0.42	-44.89	15.79	33.75	1	1	1	1
20230321140213	22.38	0.39	-45.54	15.78	33.75	1	1	1	1
20230321140214	22.38	0.36	-46.27	15.76	33.78	1	1	1	1
20230321140215	22.42	0.37	-46.0	15.73	33.78	1	1	1	1
20230321140216	22.42	0.43	-44.63	15.71	33.78	1	1	1	1
20230321140217	22.44	0.39	-45.51	15.67	33.8	1	1	1	1
20230321140218	22.48	0.39	-45.49	15.66	33.8	1	1	1	1
20230321140219	22.47	0.35	-46.47	15.64	33.82	1	1	1	1
20230321140220	22.49	0.39	-45.48	15.64	33.82	1	1	1	1
20230321140221	22.55	0.39	-45.45	15.6	33.82	1	1	1	1
20230321140222	22.55	0.45	-44.13	15.58	33.82	1	1	1	1
20230321140223	22.57	0.43	-44.54	15.57	33.85	1	1	1	1
20230321140225	22.58	0.35	-46.41	15.54	33.85	1	1	1	1
20230321140226	22.58	0.37	-45.91	15.54	33.87	1	1	1	1
20230321140227	22.61	0.31	-47.49	15.53	33.87	1	1	1	1
20230321140228	22.64	0.41	-44.94	15.51	33.89	1	1	1	1
20230321140229	22.65	0.41	-44.94	15.48	33.87	1	1	1	1
20230321140230	22.65	0.45	-44.08	15.48	33.92	1	1	1	1
20230321140231	22.7	0.45	-44.05	15.44	33.89	1	1	1	1
