EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure	IsOkay
20230405170232	16.18	1.08	-39.6	15.38	15.82	1	1	1	1
20230405170233	16.16	0.94	-40.95	15.43	15.82	1	1	1	1
20230405170234	16.18	0.85	-41.89	15.41	15.79	1	1	1	1
20230405170235	16.18	0.93	-41.04	15.41	15.79	1	1	1	1
20230405170236	16.18	0.98	-40.54	15.38	15.79	1	1	1	1
20230405170238	16.18	0.91	-41.25	15.38	15.79	1	1	1	1
20230405170239	16.18	0.89	-41.46	15.38	15.79	1	1	1	1
20230405170240	16.19	0.93	-41.03	15.41	15.82	1	1	1	1
20230405170241	16.2	0.91	-41.23	15.43	15.82	1	1	1	1
20230405170242	16.18	0.95	-40.84	15.41	15.79	1	1	1	1
20230405170243	16.19	0.87	-41.67	15.41	15.79	1	1	1	1
20230405170244	16.19	0.95	-40.83	15.43	15.82	1	1	1	1
20230405170245	16.19	0.95	-40.83	15.41	15.79	1	1	1	1
20230405170246	16.19	0.89	-41.45	15.43	15.82	1	1	1	1
20230405170247	16.2	0.93	-41.03	15.41	15.79	1	1	1	1
20230405170249	16.2	0.89	-41.44	15.43	15.82	1	1	1	1
20230405170250	16.2	0.93	-41.03	15.43	15.79	1	1	1	1
20230405170251	16.19	0.97	-40.63	15.43	15.82	1	1	1	1
20230405170252	16.2	0.95	-40.82	15.43	15.82	1	1	1	1
20230405170253	16.2	0.89	-41.44	15.43	15.82	1	1	1	1
20230405170254	16.22	0.87	-41.65	15.43	15.82	1	1	1	1
20230405170255	16.2	0.95	-40.82	15.46	15.82	1	1	1	1
20230405170256	16.2	0.97	-40.62	15.43	15.82	1	1	1	1
20230405170257	16.2	0.89	-41.44	15.43	15.79	1	1	1	1
20230405170259	16.2	0.93	-41.03	15.43	15.82	1	1	1	1
20230405170300	16.19	0.89	-41.45	15.41	15.82	1	1	1	1
20230405170301	16.2	0.98	-40.53	15.43	15.82	1	1	1	1
20230405170302	16.22	0.91	-41.22	15.43	15.82	1	1	1	1
20230405170303	16.2	0.89	-41.44	15.41	15.82	1	1	1	1
20230405170304	16.19	0.95	-40.83	15.43	15.82	1	1	1	1
20230405170305	16.2	0.89	-41.44	15.43	15.82	1	1	1	1
20230405170306	16.2	0.91	-41.23	15.41	15.82	1	1	1	1
20230405170307	16.22	0.95	-40.81	15.41	15.82	1	1	1	1
20230405170308	16.2	0.97	-40.62	15.46	15.85	1	1	1	1
