EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure
20230321115252	20.18	0.16	-54.47	20.25	19.31	0	0	0	1
20230321115253	20.15	0.2	-52.61	20.26	19.3	0	0	0	1
20230321115254	20.14	0.14	-55.59	20.26	19.31	0	0	0	1
20230321115255	20.14	0.06	-62.3	20.26	19.32	0	0	0	1
20230321115256	20.15	0.16	-54.48	20.26	19.31	0	0	0	1
20230321115257	20.15	0.12	-56.84	20.26	19.32	0	0	0	1
20230321115258	20.14	0.08	-60.08	20.25	19.31	0	0	0	1
20230321115259	20.14	0.14	-55.59	20.26	19.31	0	0	0	1
20230321115300	20.15	0.08	-60.07	20.26	19.31	0	0	0	1
20230321115302	20.15	0.12	-56.84	20.26	19.31	0	0	0	1
20230321115303	20.14	0.2	-52.62	20.26	19.31	0	0	0	1
20230321115304	20.12	0.16	-54.5	20.25	19.31	0	0	0	1
20230321115305	20.15	0.16	-54.48	20.26	19.31	0	0	0	1
20230321115306	20.12	0.12	-56.86	20.26	19.31	0	0	0	1
20230321115307	20.17	0.14	-55.58	20.26	19.3	0	0	0	1
