EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure
20230321120840	20.25	0.05	-63.63	20.34	19.36	1	1	1	1
20230321120841	20.27	0.14	-55.53	20.32	19.34	1	1	1	1
20230321120842	20.27	0.17	-53.92	20.32	19.34	1	1	1	1
20230321120844	20.27	0.09	-59.09	20.32	19.34	1	1	1	1
20230321120845	20.27	0.14	-55.53	20.32	19.34	1	1	1	1
20230321120846	20.27	0.2	-52.55	20.32	19.34	1	1	1	1
20230321120847	20.27	0.14	-55.53	20.32	19.34	1	1	1	1
20230321120848	20.27	0.17	-53.92	20.32	19.34	1	1	1	1
20230321120849	20.28	0.18	-53.43	20.34	19.36	1	1	1	1
20230321120850	20.27	0.11	-57.49	20.34	19.36	1	1	1	1
20230321120851	20.29	0.19	-52.97	20.32	19.34	1	1	1	1
20230321120852	20.28	0.17	-53.91	20.32	19.33	1	1	1	1
20230321120853	20.29	0.09	-59.08	20.34	19.34	1	1	1	1
20230321120854	20.25	0.14	-55.54	20.34	19.36	1	1	1	1
20230321120855	20.28	0.18	-53.43	20.34	19.36	1	1	1	1
20230321120856	20.28	0.15	-54.95	20.32	19.34	1	1	1	1
20230321120857	20.28	0.17	-53.91	20.32	19.34	1	1	1	1
20230321120858	20.27	0.2	-52.55	20.32	19.34	1	1	1	1
20230321120859	20.27	0.13	-56.13	20.32	19.34	1	1	1	1
20230321120900	20.25	0.08	-60.02	20.32	19.34	1	1	1	1
