EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure	IsOkay
20230405163233	20.04	43.13	7.11	15.85	1000.0	1	0	0	1
20230405163234	20.03	43.25	7.14	15.85	1000.0	1	0	0	1
20230405163235	20.04	43.3	7.17	15.85	1000.0	1	0	0	1
20230405163236	20.09	43.32	7.22	15.88	1000.0	1	0	0	1
20230405163238	20.1	43.32	7.23	15.85	1000.0	1	0	0	1
20230405163239	20.07	43.37	7.22	15.88	1000.0	1	0	0	1
20230405163240	20.09	43.42	7.26	15.88	1000.0	1	0	0	1
20230405163241	20.1	43.41	7.26	15.88	1000.0	1	0	0	1
20230405163242	20.11	43.43	7.28	15.88	1000.0	1	0	0	1
20230405163243	20.14	43.51	7.33	15.88	1000.0	1	0	0	1
20230405163244	20.14	43.59	7.36	15.88	1000.0	1	0	0	1
20230405163245	20.13	43.55	7.34	15.88	1000.0	1	0	0	1
20230405163246	20.07	43.56	7.28	15.88	1000.0	1	0	0	1
20230405163248	20.1	43.56	7.31	15.88	1000.0	1	0	0	1
20230405163249	20.1	43.51	7.3	15.88	1000.0	1	0	0	1
20230405163250	20.13	43.46	7.31	15.88	1000.0	1	0	0	1
20230405163251	20.13	43.45	7.3	15.9	1000.0	1	0	0	1
20230405163252	20.13	43.28	7.24	15.9	1000.0	1	0	0	1
20230405163253	20.1	43.18	7.18	15.9	1000.0	1	0	0	1
20230405163254	20.09	42.99	7.11	15.88	1000.0	1	0	0	1
20230405163255	20.11	42.89	7.09	15.88	1000.0	1	0	0	1
20230405163256	20.07	42.76	7.01	15.9	1000.0	1	0	0	1
20230405163257	20.04	42.64	6.95	15.9	1000.0	1	0	0	1
20230405163259	20.06	42.56	6.94	15.88	1000.0	1	0	0	1
20230405163300	20.03	42.42	6.86	15.88	1000.0	1	0	0	1
20230405163301	20.0	42.27	6.78	15.9	1000.0	1	0	0	1
20230405163302	19.97	42.2	6.73	15.88	1000.0	1	0	0	1
20230405163303	19.99	42.12	6.72	15.9	1000.0	1	0	0	1
20230405163304	20.01	42.18	6.76	15.88	1000.0	1	0	0	1
20230405163305	19.99	42.03	6.69	15.88	1000.0	1	0	0	1
20230405163306	20.0	42.06	6.71	15.88	1000.0	1	0	0	1
20230405163307	20.0	41.97	6.68	15.88	1000.0	1	0	0	1
20230405163309	20.03	41.95	6.7	15.88	1000.0	1	0	0	1
20230405163310	20.03	42.0	6.72	15.88	1000.0	1	0	0	1
20230405163311	20.01	41.94	6.68	15.85	1000.0	1	0	0	1
20230405163312	20.0	41.88	6.65	15.88	1000.0	1	0	0	1
20230405163313	20.0	41.85	6.64	15.85	1000.0	1	0	0	1
20230405163314	20.01	41.8	6.63	15.85	1000.0	1	0	0	1
20230405163315	20.01	41.77	6.62	15.85	1000.0	1	0	0	1
20230405163316	20.03	41.81	6.65	15.88	1000.0	1	0	0	1
20230405163317	20.03	41.76	6.63	15.85	1000.0	1	0	0	1
20230405163318	20.0	41.78	6.61	15.85	1000.0	1	0	0	1
20230405163320	20.0	41.81	6.62	15.85	1000.0	1	0	0	1
20230405163321	19.99	41.89	6.64	15.88	1000.0	1	0	0	1
20230405163322	20.0	41.91	6.66	15.85	1000.0	1	0	0	1
20230405163323	20.0	41.99	6.69	15.82	1000.0	1	0	0	1
20230405163324	20.03	42.15	6.77	15.85	1000.0	1	0	0	1
20230405163325	20.0	42.2	6.76	15.85	1000.0	1	0	0	1
20230405163326	19.99	42.31	6.79	15.85	1000.0	1	0	0	1
20230405163327	20.03	42.47	6.88	15.85	1000.0	1	0	0	1
20230405163328	20.04	42.54	6.91	15.85	1000.0	1	0	0	1
20230405163330	20.01	42.66	6.93	15.85	1000.0	1	0	0	1
20230405163331	20.01	42.76	6.96	15.85	1000.0	1	0	0	1
20230405163332	20.0	42.87	6.99	15.85	1000.0	1	0	0	1
20230405163333	20.0	42.99	7.03	15.85	1000.0	1	0	0	1
20230405163334	19.99	43.12	7.06	15.85	1000.0	1	0	0	1
20230405163335	19.97	43.35	7.12	15.85	1000.0	1	0	0	1
20230405163336	19.97	43.38	7.13	15.85	1000.0	1	0	0	1
20230405163337	19.99	43.41	7.16	15.85	1000.0	1	0	0	1
20230405163338	19.97	43.48	7.17	15.85	1000.0	1	0	0	1
20230405163339	19.99	43.51	7.2	15.88	1000.0	1	0	0	1
20230405163341	19.99	43.55	7.21	15.85	1000.0	1	0	0	1
20230405163342	19.99	43.61	7.23	15.85	1000.0	1	0	0	1
20230405163343	20.01	43.65	7.26	15.85	1000.0	1	0	0	1
20230405163344	19.99	43.7	7.26	15.85	1000.0	1	0	0	1
20230405163345	19.94	43.81	7.25	15.88	1000.0	1	0	0	1
20230405163346	19.99	43.85	7.31	15.85	1000.0	1	0	0	1
20230405163347	19.97	43.9	7.31	15.88	1000.0	1	0	0	1
20230405163348	19.97	43.91	7.31	15.85	1000.0	1	0	0	1
20230405163349	19.99	43.89	7.32	15.88	1000.0	1	0	0	1
20230405163351	19.94	43.77	7.24	15.85	1000.0	1	0	0	1
20230405163352	19.94	43.68	7.21	15.88	1000.0	1	0	0	1
20230405163353	19.94	43.66	7.2	15.85	1000.0	1	0	0	1
20230405163354	19.91	43.54	7.13	15.88	1000.0	1	0	0	1
20230405163355	19.93	43.31	7.07	15.88	1000.0	1	0	0	1
20230405163356	19.93	43.25	7.05	15.88	1000.0	1	0	0	1
20230405163357	19.9	43.12	6.98	15.85	1000.0	1	0	0	1
20230405163358	19.93	43.08	7.0	15.88	1000.0	1	0	0	1
20230405163359	19.99	43.01	7.03	15.88	1000.0	1	0	0	1
20230405163401	20.1	42.74	7.03	15.88	1000.0	1	0	0	1
20230405163402	20.17	42.44	6.99	15.9	1000.0	1	0	0	1
20230405163403	20.27	42.37	7.06	15.88	1000.0	1	0	0	1
20230405163404	20.37	42.4	7.16	15.88	1000.0	1	0	0	1
20230405163405	20.51	42.25	7.24	15.88	1000.0	1	0	0	1
20230405163406	20.56	42.61	7.4	15.9	1000.0	1	0	0	1
20230405163407	20.64	43.15	7.66	15.88	1000.0	1	0	0	1
20230405163408	20.78	43.72	7.98	15.9	1000.0	1	0	0	1
20230405163409	21.11	44.64	8.59	15.88	1000.0	1	0	0	1
20230405163410	21.19	45.93	9.08	15.88	1000.0	1	0	0	1
20230405163412	21.26	46.2	9.23	15.9	1000.0	1	0	0	1
20230405163413	21.22	45.94	9.11	15.9	1000.0	1	0	0	1
20230405163414	21.25	45.5	9.0	15.88	1000.0	1	0	0	1
20230405163415	21.3	45.0	8.88	15.88	1000.0	1	0	0	1
20230405163416	21.32	45.32	9.0	15.9	1000.0	1	0	0	1
20230405163417	21.36	45.36	9.05	15.93	1000.0	1	0	0	1
20230405163418	21.49	45.82	9.32	15.9	1000.0	1	0	0	1
20230405163419	21.57	46.3	9.55	15.9	1000.0	1	0	0	1
20230405163420	21.57	46.5	9.61	15.93	1000.0	1	0	0	1
20230405163422	21.62	46.62	9.7	15.93	1000.0	1	0	0	1
20230405163423	21.69	46.47	9.71	15.93	1000.0	1	0	0	1
20230405163424	21.73	46.52	9.76	15.93	1000.0	1	0	0	1
20230405163425	21.8	46.41	9.79	15.96	1000.0	1	0	0	1
20230405163426	21.86	46.1	9.75	15.93	1000.0	1	0	0	1
20230405163427	21.84	45.81	9.64	15.93	1000.0	1	0	0	1
20230405163428	21.84	45.31	9.47	15.93	1000.0	1	0	0	1
20230405163429	21.83	44.76	9.28	15.93	1000.0	1	0	0	1
20230405163430	21.78	44.33	9.09	15.93	1000.0	1	0	0	1
20230405163431	21.81	43.93	8.98	15.93	1000.0	1	0	0	1
20230405163433	21.8	43.73	8.91	15.96	1000.0	1	0	0	1
20230405163434	21.77	43.64	8.85	15.98	1000.0	1	0	0	1
20230405163435	21.76	43.13	8.67	15.98	1000.0	1	0	0	1
20230405163436	21.77	42.94	8.61	15.96	1000.0	1	0	0	1
20230405163437	21.76	42.9	8.59	15.96	1000.0	1	0	0	1
20230405163438	21.78	42.82	8.58	15.98	1000.0	1	0	0	1
20230405163439	21.8	42.84	8.6	15.98	1000.0	1	0	0	1
20230405163440	21.78	42.88	8.6	15.98	1000.0	1	0	0	1
20230405163441	21.8	42.81	8.59	16.01	1000.0	1	0	0	1
20230405163443	21.8	42.91	8.63	16.01	1000.0	1	0	0	1
20230405163444	21.84	43.02	8.7	16.03	1000.0	1	0	0	1
20230405163445	21.93	43.53	8.96	16.03	1000.0	1	0	0	1
20230405163446	21.96	43.59	9.01	16.06	1000.0	1	0	0	1
20230405163447	21.91	43.67	8.99	16.06	1000.0	1	0	0	1
20230405163448	21.9	43.49	8.92	16.06	1000.0	1	0	0	1
20230405163449	21.97	43.32	8.92	16.09	1000.0	1	0	0	1
20230405163450	21.98	43.51	9.0	16.11	1000.0	1	0	0	1
20230405163451	22.01	43.5	9.02	16.11	1000.0	1	0	0	1
20230405163453	22.03	43.49	9.03	16.11	1000.0	1	0	0	1
20230405163454	22.0	43.34	8.96	16.14	1000.0	1	0	0	1
20230405163455	22.01	42.85	8.8	16.14	1000.0	1	0	0	1
20230405163456	22.07	42.85	8.85	16.16	1000.0	1	0	0	1
20230405163457	22.07	42.84	8.85	16.14	1000.0	1	0	0	1
20230405163458	22.07	42.62	8.77	16.16	1000.0	1	0	0	1
20230405163459	22.04	42.35	8.65	16.14	1000.0	1	0	0	1
20230405163500	22.08	42.24	8.65	16.16	1000.0	1	0	0	1
20230405163501	22.07	42.21	8.63	16.16	1000.0	1	0	1	1
20230405163502	22.08	42.1	8.6	16.14	1000.0	1	0	0	1
20230405163504	22.08	42.02	8.57	16.14	1000.0	1	0	0	1
20230405163505	22.01	41.66	8.38	16.14	1000.0	1	1	0	1
20230405163506	22.03	41.23	8.25	16.14	1000.0	1	1	0	1
20230405163507	22.0	40.95	8.12	16.14	1000.0	1	1	0	1
20230405163508	21.98	40.75	8.03	16.14	1000.0	1	1	0	1
20230405163509	21.94	40.54	7.92	16.16	1000.0	1	1	0	1
20230405163510	21.94	40.42	7.87	16.14	1000.0	1	1	0	1
20230405163511	21.91	40.35	7.82	16.14	1000.0	1	1	0	1
20230405163512	21.94	40.19	7.79	16.14	1000.0	1	1	0	1
20230405163514	21.94	40.19	7.79	16.16	1000.0	1	1	0	1
20230405163515	21.98	40.42	7.91	16.14	1000.0	1	1	0	1
20230405163516	21.97	40.33	7.87	16.14	1000.0	1	1	0	1
20230405163517	22.04	40.52	8.0	16.14	1000.0	1	1	0	1
20230405163518	22.07	40.83	8.14	16.14	1000.0	1	1	0	1
20230405163519	22.16	41.08	8.31	16.11	1000.0	1	1	0	1
20230405163520	22.17	41.59	8.5	16.14	1000.0	1	1	0	1
20230405163521	22.21	41.98	8.67	16.14	1000.0	1	1	0	1
20230405163522	22.25	42.57	8.92	16.14	1000.0	1	1	0	1
20230405163524	22.29	43.17	9.16	16.14	1000.0	1	1	0	1
20230405163525	22.39	43.92	9.51	16.14	1000.0	1	1	0	1
20230405163526	22.28	43.92	9.41	16.16	1000.0	1	1	0	1
20230405163527	22.18	43.28	9.1	16.16	1000.0	1	1	0	1
20230405163528	22.07	42.64	8.78	16.16	1000.0	1	1	0	1
20230405163529	21.96	42.04	8.47	16.16	1000.0	1	1	0	1
