EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure	IsOkay
20230403104348	24.6	0.16	-52.21	24.62	22.24	1	1	1	1
20230403104350	24.63	0.17	-51.68	24.59	22.24	1	1	1	1
20230403104351	24.61	0.19	-50.73	24.58	22.24	1	1	1	1
20230403104352	24.61	0.11	-55.34	24.56	22.22	1	1	1	1
20230403104353	24.63	0.25	-48.32	24.56	22.22	1	1	1	1
20230403104354	24.64	0.23	-49.05	24.56	22.21	1	1	1	1
20230403104355	24.63	0.21	-49.85	24.55	22.2	1	1	1	1
20230403104356	24.66	0.27	-47.62	24.53	22.18	1	1	1	1
20230403104357	24.66	0.23	-49.04	24.52	22.18	1	1	1	1
20230403104358	24.64	0.23	-49.05	24.49	22.18	1	1	1	1
20230403104359	24.63	0.15	-52.74	24.49	22.18	1	1	1	1
20230403104400	24.63	0.17	-51.68	24.49	22.17	1	1	1	1
20230403104401	24.66	0.17	-51.66	24.48	22.15	1	1	1	1
20230403104402	24.63	0.15	-52.74	24.45	22.14	1	1	1	1
20230403104403	24.63	0.25	-48.32	24.45	22.12	1	1	1	1
20230403104404	24.63	0.17	-51.68	24.44	22.12	1	1	1	1
20230403104405	24.63	0.17	-51.68	24.44	22.12	1	1	1	1
20230403104406	24.61	0.21	-49.86	24.42	22.12	1	1	1	1
20230403104407	24.61	0.19	-50.73	24.41	22.11	1	1	1	1
20230403104408	24.66	0.19	-50.71	24.4	22.11	1	1	1	1
20230403104409	24.64	0.17	-51.67	24.38	22.09	1	1	1	1
20230403104410	24.61	0.15	-52.75	24.38	22.09	1	1	1	1
20230403104412	24.61	0.19	-50.73	24.38	22.06	1	1	1	1
20230403104413	24.64	0.15	-52.74	24.34	22.06	1	1	1	1
20230403104414	24.64	0.21	-49.85	24.34	22.06	1	1	1	1
20230403104415	24.61	0.11	-55.34	24.33	22.06	1	1	1	1
20230403104416	24.66	0.25	-48.3	24.33	22.04	1	1	1	1
20230403104417	24.64	0.19	-50.72	24.3	22.04	1	1	1	1
20230403104418	24.63	0.21	-49.85	24.3	22.01	1	1	1	1
20230403104419	24.66	0.19	-50.71	24.27	22.01	1	1	1	1
20230403104420	24.63	0.13	-53.95	24.27	22.01	1	1	1	1
20230403104421	24.64	0.17	-51.67	24.26	22.01	1	1	1	1
20230403104422	24.63	0.17	-51.68	24.25	21.99	1	1	1	1
20230403104423	24.66	0.23	-49.04	24.22	21.98	1	1	1	1
20230403104424	24.64	0.17	-51.67	24.21	21.98	1	1	1	1
20230403104425	24.61	0.27	-47.65	24.21	21.96	1	1	1	1
20230403104426	24.64	0.23	-49.05	24.19	21.95	1	1	1	1
20230403104427	24.66	0.19	-50.71	24.18	21.93	1	1	1	1
20230403104428	24.64	0.15	-52.74	24.16	21.93	1	1	1	1
20230403104429	24.66	0.17	-51.66	24.16	21.93	1	1	1	1
20230403104430	24.66	0.17	-51.66	24.16	21.93	1	1	1	1
20230403104431	24.67	0.21	-49.83	24.19	21.93	1	1	1	1
20230403104433	24.63	0.21	-49.85	24.19	21.93	1	1	1	1
20230403104434	24.64	0.21	-49.85	24.19	21.93	1	1	1	1
20230403104435	24.64	0.23	-49.05	24.21	21.93	1	1	1	1
20230403104436	24.66	0.17	-51.66	24.21	21.93	1	1	1	1
20230403104437	24.63	0.17	-51.68	24.21	21.93	1	1	1	1
20230403104438	24.66	0.17	-51.66	24.23	21.95	1	1	1	1
20230403104439	24.66	0.13	-53.93	24.22	21.93	1	1	1	1
20230403104440	24.63	0.15	-52.74	24.25	21.95	1	1	1	1
20230403104441	24.67	0.15	-52.72	24.26	21.96	1	1	1	1
20230403104442	24.66	0.19	-50.71	24.26	21.98	1	1	1	1
20230403104443	24.66	0.23	-49.04	24.27	21.99	1	1	1	1
20230403104444	24.67	0.15	-52.72	24.27	21.99	1	1	1	1
20230403104445	24.67	0.17	-51.66	24.27	21.99	1	1	1	1
20230403104446	24.68	0.19	-50.7	24.29	21.99	1	1	1	1
20230403104447	24.7	0.21	-49.82	24.3	22.01	1	1	1	1
20230403104448	24.64	0.25	-48.31	24.3	22.02	1	1	1	1
20230403104449	24.66	0.15	-52.73	24.31	22.02	1	1	1	1
20230403104450	24.67	0.25	-48.3	24.33	22.02	1	1	1	1
20230403104451	24.7	0.15	-52.71	24.33	22.02	1	1	1	1
20230403104452	24.68	0.17	-51.65	24.33	22.05	1	1	1	1
20230403104453	24.67	0.23	-49.03	24.34	22.05	1	1	1	1
20230403104455	24.7	0.17	-51.64	24.36	22.05	1	1	1	1
20230403104456	24.7	0.19	-50.68	24.37	22.06	1	1	1	1
20230403104457	24.71	0.15	-52.7	24.37	22.06	1	1	1	1
20230403104458	24.68	0.17	-51.65	24.37	22.06	1	1	1	1
20230403104459	24.71	0.15	-52.7	24.38	22.08	1	1	1	1
20230403104500	24.7	0.23	-49.02	24.38	22.08	1	1	1	1
20230403104501	24.7	0.17	-51.64	24.4	22.09	1	1	1	1
20230403104502	24.7	0.15	-52.71	24.4	22.08	1	1	1	1
20230403104503	24.72	0.17	-51.63	24.42	22.12	1	1	1	1
20230403104504	24.71	0.19	-50.68	24.42	22.12	1	1	1	1
20230403104505	24.71	0.19	-50.68	24.44	22.12	1	1	1	1
20230403104506	24.72	0.17	-51.63	24.44	22.12	1	1	1	1
20230403104507	24.72	0.15	-52.7	24.44	22.12	1	1	1	1
20230403104508	24.72	0.21	-49.81	24.44	22.12	1	1	1	1
20230403104509	24.75	0.17	-51.62	24.45	22.12	1	1	1	1
20230403104510	24.75	0.17	-51.62	24.47	22.12	1	1	1	1
