EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure	IsOkay
20230329163212	19.73	0.17	-54.2	20.27	19.1	1	1	1	1
20230329163213	19.73	0.01	-75.18	20.27	19.1	1	1	1	1
20230329163214	19.71	0.07	-61.32	20.27	19.11	1	1	1	1
20230329163215	19.73	0.03	-67.62	20.27	19.11	1	1	1	1
20230329163216	19.73	0.0	-89.08	20.29	19.12	1	1	1	1
20230329163217	19.74	0.0	-89.08	20.27	19.11	1	1	1	1
20230329163218	19.73	0.03	-67.62	20.27	19.11	1	1	1	1
20230329163219	19.74	0.0	-89.08	20.27	19.12	1	1	1	1
20230329163221	19.77	0.0	-89.07	20.29	19.12	1	1	1	1
20230329163222	19.77	0.01	-75.16	20.29	19.13	1	1	1	1
20230329163223	19.74	0.0	-89.08	20.27	19.11	1	1	1	1
20230329163224	19.75	0.0	-89.08	20.29	19.11	1	1	1	1
20230329163225	19.75	0.03	-67.61	20.27	19.11	1	1	1	1
20230329163226	19.77	0.01	-75.16	20.27	19.12	1	1	1	1
20230329163227	19.75	0.0	-89.08	20.27	19.11	1	1	1	1
20230329163228	19.77	0.05	-63.85	20.29	19.12	1	1	1	1
20230329163229	19.75	0.03	-67.61	20.27	19.11	1	1	1	1
20230329163230	19.78	0.0	-89.07	20.29	19.12	1	1	1	1
20230329163231	19.78	0.03	-67.6	20.29	19.12	1	1	1	1
20230329163232	19.78	0.07	-61.29	20.29	19.12	1	1	1	1
20230329163233	19.77	0.03	-67.6	20.29	19.12	1	1	1	1
20230329163234	19.77	0.01	-75.16	20.29	19.13	1	1	1	1
20230329163235	19.78	0.07	-61.29	20.29	19.12	1	1	1	1
20230329163236	19.8	0.01	-75.15	20.29	19.12	1	1	1	1
20230329163237	19.77	0.0	-89.07	20.3	19.13	1	1	1	1
20230329163238	19.8	0.0	-89.06	20.29	19.12	1	1	1	1
20230329163239	19.8	0.03	-67.59	20.29	19.12	1	1	1	1
20230329163240	19.8	0.01	-75.15	20.31	19.12	1	1	1	1
20230329163242	19.8	0.01	-75.15	20.3	19.12	1	1	1	1
20230329163243	19.78	0.05	-63.85	20.3	19.12	1	1	1	1
20230329163244	19.8	0.03	-67.59	20.31	19.13	1	1	1	1
20230329163245	19.77	0.01	-75.16	20.3	19.12	1	1	1	1
20230329163246	19.82	0.03	-67.58	20.3	19.12	1	1	1	1
20230329163247	19.8	0.01	-75.15	20.3	19.12	1	1	1	1
20230329163248	19.78	0.09	-59.33	20.3	19.12	1	1	1	1
20230329163249	19.8	0.07	-61.28	20.3	19.13	1	1	1	1
20230329163250	19.78	0.0	-89.07	20.3	19.13	1	1	1	1
20230329163251	19.78	0.0	-89.07	20.3	19.12	1	1	1	1
20230329163252	19.82	0.01	-75.14	20.3	19.12	1	1	1	1
20230329163253	19.8	0.01	-75.15	20.31	19.12	1	1	1	1
20230329163254	19.78	0.03	-67.6	20.31	19.12	1	1	1	1
20230329163255	19.8	0.05	-63.84	20.31	19.12	1	1	1	1
20230329163256	19.84	0.01	-75.13	20.31	19.12	1	1	1	1
20230329163257	19.8	0.03	-67.59	20.32	19.12	1	1	1	1
20230329163258	19.81	0.03	-67.59	20.31	19.12	1	1	1	1
20230329163259	19.81	0.01	-75.15	20.32	19.13	1	1	1	1
20230329163300	19.8	0.03	-67.59	20.32	19.12	1	1	1	1
20230329163301	19.82	0.0	-89.05	20.32	19.13	1	1	1	1
20230329163303	19.82	0.0	-89.05	20.31	19.13	1	1	1	1
20230329163304	19.81	0.0	-89.06	20.34	19.13	1	1	1	1
20230329163305	19.82	0.0	-89.05	20.32	19.14	1	1	1	1
20230329163306	19.8	0.03	-67.59	20.31	19.13	1	1	1	1
20230329163307	19.8	0.0	-89.06	20.31	19.13	1	1	1	1
20230329163308	19.81	0.0	-89.06	20.31	19.13	1	1	1	1
20230329163309	19.82	0.03	-67.58	20.3	19.12	1	1	1	1
20230329163310	19.82	0.01	-75.14	20.31	19.12	1	1	1	1
20230329163311	19.8	0.05	-63.84	20.32	19.12	1	1	1	1
20230329163312	19.81	0.0	-89.06	20.3	19.12	1	1	1	1
20230329163313	19.82	0.0	-89.05	20.3	19.12	1	1	1	1
20230329163314	19.81	0.0	-89.06	20.3	19.12	1	1	1	1
20230329163315	19.82	0.01	-75.14	20.3	19.12	1	1	1	1
20230329163316	19.81	0.03	-67.59	20.29	19.12	1	1	1	1
20230329163317	19.81	0.0	-89.06	20.29	19.12	1	1	1	1
20230329163318	19.8	0.0	-89.06	20.29	19.12	1	1	1	1
20230329163319	19.82	0.0	-89.05	20.27	19.11	1	1	1	1
20230329163320	19.82	0.0	-89.05	20.27	19.11	1	1	1	1
20230329163321	19.81	0.0	-89.06	20.27	19.11	1	1	1	1
20230329163323	19.81	0.0	-89.06	20.27	19.1	1	1	1	1
20230329163324	19.8	0.01	-75.15	20.27	19.1	1	1	1	1
20230329163325	19.8	0.0	-89.06	20.27	19.11	1	1	1	1
20230329163326	19.8	0.05	-63.84	20.26	19.1	1	1	1	1
20230329163327	19.8	0.0	-89.06	20.27	19.1	1	1	1	1
20230329163328	19.8	0.01	-75.15	20.27	19.1	1	1	1	1
