EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure
20230317122228	15.29	0.0	-90.62	18.45	0	0	0	0
20230317122229	15.22	0.0	-90.64	18.45	0	0	0	0
20230317122230	15.22	0.0	-90.64	18.45	0	0	0	0
20230317122231	15.25	0.0	-90.63	18.44	0	0	0	0
20230317122233	15.23	0.0	-90.64	18.44	0	0	1	1
20230317122234	15.25	0.0	-90.63	18.44	0	0	1	0
20230317122235	15.23	0.0	-90.64	18.44	0	0	1	1
20230317122236	15.22	0.0	-90.64	18.44	0	0	1	1
20230317122237	15.2	0.0	-90.65	18.44	0	0	1	0
20230317122238	15.23	0.0	-90.64	18.44	0	0	1	0
20230317122239	15.25	0.0	-90.63	18.44	0	0	1	0
20230317122240	15.26	0.0	-90.63	18.44	0	0	1	1
20230317122241	15.22	0.0	-90.64	18.44	0	0	1	1
