EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure	IsOkay
20230321135356	21.94	0.19	-52.11	21.71	20.11	1	1	1	1
20230321135357	21.91	0.17	-53.07	21.71	20.11	1	1	1	1
20230321135358	21.9	0.19	-52.13	21.71	20.11	1	1	1	1
20230321135359	21.91	0.25	-49.76	21.7	20.11	1	1	1	1
20230321135400	21.88	0.15	-54.14	21.7	20.11	1	1	1	1
20230321135401	21.93	0.19	-52.12	21.7	20.11	1	1	1	1
20230321135402	21.91	0.21	-51.27	21.7	20.11	1	1	1	1
20230321135403	21.91	0.19	-52.13	21.7	20.11	1	1	1	1
20230321135404	21.91	0.15	-54.12	21.7	20.11	1	1	1	1
20230321135405	21.9	0.23	-50.49	21.7	20.11	1	1	1	1
20230321135406	21.9	0.19	-52.13	21.68	20.11	1	1	1	1
20230321135407	21.9	0.17	-53.08	21.68	20.11	1	1	1	1
20230321135408	21.88	0.13	-55.32	21.68	20.11	1	1	1	1
20230321135409	21.88	0.19	-52.15	21.67	20.09	1	1	1	1
