EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure	IsOkay
20230405114650	22.18	0.92	-37.52	27.73	26.31	1	1	1	1
20230405114651	22.17	0.94	-37.31	27.63	26.25	1	1	1	1
20230405114652	22.17	1.02	-36.5	27.54	26.14	1	1	1	1
20230405114653	22.18	1.02	-36.5	27.44	26.08	1	1	1	1
20230405114654	22.17	1.0	-36.7	27.35	25.94	1	1	1	1
20230405114656	22.14	1.02	-36.52	27.29	25.91	1	1	1	1
20230405114657	22.13	0.98	-36.92	27.19	25.84	1	1	1	1
20230405114658	22.11	1.0	-36.74	27.1	25.81	1	1	1	1
20230405114659	22.1	1.05	-36.26	26.98	25.67	1	1	1	1
20230405114700	22.07	0.99	-36.86	26.91	25.61	1	1	1	1
20230405114701	22.08	0.92	-37.58	26.85	25.57	1	1	1	1
20230405114702	22.05	1.03	-36.48	26.76	25.47	1	1	1	1
20230405114703	22.04	0.94	-37.39	26.7	25.44	1	1	1	1
20230405114704	22.03	1.01	-36.69	26.6	25.37	1	1	1	1
20230405114705	22.01	0.99	-36.9	26.48	25.31	1	1	1	1
20230405114707	22.0	0.98	-37.0	26.45	25.24	1	1	1	1
20230405114708	21.97	0.95	-37.33	26.36	25.17	1	1	1	1
20230405114709	21.98	0.99	-36.91	26.29	25.14	1	1	1	1
20230405114710	21.97	1.03	-36.53	26.2	25.07	1	1	1	1
20230405114711	21.94	0.94	-37.45	26.11	24.97	1	1	1	1
20230405114712	21.93	1.05	-36.36	26.05	24.94	1	1	1	1
20230405114713	21.9	0.95	-37.37	25.96	24.91	1	1	1	1
20230405114714	21.88	0.93	-37.59	25.9	24.84	1	1	1	1
20230405114715	21.87	1.01	-36.78	25.81	24.74	1	1	1	1
20230405114716	21.87	0.97	-37.18	25.75	24.74	1	1	1	1
20230405114718	21.86	0.97	-37.19	25.65	24.68	1	1	1	1
20230405114719	21.83	0.95	-37.41	25.59	24.61	1	1	1	1
20230405114720	21.84	0.99	-37.0	25.47	24.51	1	1	1	1
20230405114721	21.81	0.89	-38.07	25.44	24.44	1	1	1	1
20230405114722	21.8	0.97	-37.23	25.38	24.41	1	1	1	1
20230405114723	21.77	1.0	-36.94	25.32	24.38	1	1	1	1
20230405114724	21.74	0.99	-37.06	25.23	24.28	1	1	1	1
20230405114725	21.73	0.93	-37.68	25.17	24.25	1	1	1	1
20230405114726	21.73	1.0	-36.97	25.11	24.21	1	1	1	1
20230405114727	21.7	0.97	-37.29	25.02	24.15	1	1	1	1
20230405114728	21.69	1.0	-36.99	24.96	24.12	1	1	1	1
20230405114730	21.69	1.02	-36.79	24.81	24.05	1	1	1	1
20230405114731	21.67	1.0	-37.0	24.63	23.99	1	1	1	1
