EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure
20230321102954	17.68	0.23	-52.73	18.81	18.13	0	0	0
20230321102955	17.7	0.21	-53.49	18.87	18.12	0	0	0
20230321102956	17.71	0.23	-52.72	18.94	18.13	0	0	0
20230321102957	17.71	0.19	-54.32	19.05	18.13	0	0	0
20230321102958	17.71	0.21	-53.48	19.14	18.13	0	0	0
20230321102959	17.68	0.18	-54.78	19.24	18.16	0	0	0
20230321103000	17.67	0.27	-51.37	19.36	18.16	0	0	0
20230321103001	17.71	0.21	-53.48	19.46	18.16	0	0	0
20230321103002	17.7	0.23	-52.72	19.56	18.17	0	0	0
20230321103003	17.71	0.19	-54.32	19.66	18.17	0	0	0
20230321103004	17.7	0.19	-54.33	19.76	18.19	0	0	0
20230321103006	17.71	0.15	-56.27	19.87	18.2	0	0	0
20230321103007	17.7	0.19	-54.33	19.95	18.2	0	0	0
20230321103008	17.7	0.23	-52.72	20.07	18.23	0	0	0
20230321103009	17.71	0.15	-56.27	20.17	18.24	0	0	0
20230321103010	17.73	0.23	-52.71	20.26	18.24	0	0	0
20230321103011	17.68	0.25	-52.02	20.36	18.26	0	0	0
20230321103012	17.7	0.19	-54.33	20.46	18.29	0	0	0
20230321103013	17.67	0.23	-52.74	20.55	18.3	0	0	0
20230321103014	17.68	0.25	-52.02	20.64	18.32	0	0	0
20230321103015	17.71	0.21	-53.48	20.74	18.34	0	0	0
20230321103016	17.67	0.25	-52.03	20.83	18.36	0	0	0
20230321103017	17.68	0.25	-52.02	20.93	18.39	0	0	0
20230321103019	17.71	0.25	-52.01	21.0	18.39	0	0	0
20230321103020	17.7	0.17	-55.25	21.09	18.41	0	0	0
20230321103021	17.7	0.19	-54.33	21.19	18.44	0	0	0
20230321103022	17.7	0.25	-52.01	21.26	18.45	0	0	0
20230321103023	17.71	0.19	-54.32	21.35	18.48	0	0	0
20230321103024	17.7	0.17	-55.25	21.44	18.5	0	0	0
20230321103025	17.68	0.21	-53.5	21.52	18.52	0	0	0
20230321103026	17.71	0.17	-55.24	21.61	18.54	0	0	0
20230321103027	17.7	0.21	-53.49	21.67	18.55	0	0	0
20230321103028	17.71	0.25	-52.01	21.76	18.58	0	0	0
20230321103029	17.68	0.15	-56.28	21.83	18.6	0	0	0
20230321103031	17.73	0.21	-53.47	21.92	18.64	0	0	0
20230321103032	17.71	0.21	-53.48	21.98	18.65	0	0	0
20230321103033	17.71	0.23	-52.72	22.07	18.66	0	0	0
20230321103034	17.71	0.23	-52.72	22.15	18.7	0	0	0
20230321103035	17.71	0.19	-54.32	22.22	18.71	0	0	0
20230321103036	17.71	0.21	-53.48	22.29	18.73	0	0	0
