EventTime	aTemp	RH	DP	cTemp	mTemp	sLid	sVacuu	sPressure	IsOkay
20230331162250	-13.51	0.0	-98.39	0.09	3.14	1	1	1	1
20230331162251	-13.42	0.0	-98.35	0.16	3.18	1	1	1	1
20230331162252	-13.42	0.0	-98.35	0.19	3.22	1	1	1	1
20230331162253	-13.37	0.0	-98.33	0.23	3.22	1	1	1	1
20230331162254	-13.32	0.0	-98.31	0.21	3.22	1	1	1	1
20230331162255	-13.31	0.0	-98.3	0.23	3.24	1	1	1	1
20230331162256	-13.24	0.0	-98.27	0.3	3.29	1	1	1	1
20230331162257	-13.19	0.0	-98.25	0.32	3.31	1	1	1	1
20230331162258	-13.19	0.0	-98.25	0.35	3.29	1	1	1	1
20230331162300	-13.14	0.0	-98.23	0.32	3.31	1	1	1	1
20230331162301	-13.09	0.0	-98.2	0.41	3.35	1	1	1	1
20230331162302	-13.08	0.0	-98.2	0.41	3.42	1	1	1	1
20230331162303	-13.03	0.0	-98.18	0.39	3.38	1	1	1	1
20230331162304	-13.0	0.0	-98.16	0.48	3.42	1	1	1	1
20230331162305	-12.97	0.0	-98.15	0.5	3.46	1	1	1	1
20230331162306	-12.9	0.0	-98.12	0.53	3.47	1	1	1	1
20230331162307	-12.88	0.0	-98.11	0.57	3.49	1	1	1	1
20230331162308	-12.84	0.0	-98.09	0.57	3.51	1	1	1	1
20230331162309	-12.8	0.0	-98.07	0.59	3.53	1	1	1	1
20230331162310	-12.74	0.0	-98.04	0.62	3.51	1	1	1	1
20230331162311	-12.69	0.0	-98.02	0.71	3.6	1	1	1	1
20230331162312	-12.66	0.0	-98.01	0.73	3.6	1	1	1	1
20230331162313	-12.63	0.0	-98.0	0.77	3.65	1	1	1	1
20230331162314	-12.59	0.0	-97.98	0.79	3.67	1	1	1	1
20230331162315	-12.56	0.0	-97.96	0.82	3.65	1	1	1	1
20230331162316	-12.53	0.0	-97.95	0.88	3.71	1	1	1	1
20230331162317	-12.5	0.0	-97.94	0.9	3.71	1	1	1	1
20230331162318	-12.48	0.0	-97.93	0.9	3.72	1	1	1	1
20230331162319	-12.46	0.0	-97.92	0.99	3.74	1	1	1	1
20230331162321	-12.42	0.0	-97.9	0.99	3.72	1	1	1	1
20230331162322	-12.4	0.0	-97.89	1.01	3.8	1	1	1	1
20230331162323	-12.4	0.0	-97.89	1.08	3.83	1	1	1	1
20230331162324	-12.35	0.0	-97.87	1.12	3.83	1	1	1	1
20230331162325	-12.32	0.0	-97.86	1.12	3.83	1	1	1	1
20230331162326	-12.3	0.0	-97.85	1.14	3.87	1	1	1	1
20230331162327	-12.29	0.0	-97.84	1.23	3.9	1	1	1	1
20230331162328	-12.24	0.0	-97.82	1.23	3.9	1	1	1	1
20230331162329	-12.25	0.0	-97.82	1.29	3.95	1	1	1	1
20230331162330	-12.21	0.0	-97.81	1.2	3.94	1	1	1	1
20230331162331	-12.21	0.0	-97.81	1.16	3.97	1	1	1	1
20230331162332	-12.15	0.0	-97.78	1.03	3.94	1	1	1	1
20230331162333	-12.16	0.0	-97.78	0.92	3.92	1	1	1	1
20230331162334	-12.15	0.0	-97.78	0.79	3.85	1	1	1	1
20230331162335	-12.12	0.0	-97.77	0.71	3.81	1	1	1	1
20230331162336	-12.09	0.0	-97.75	0.62	3.76	1	1	1	1
20230331162337	-12.09	0.0	-97.75	0.46	3.67	1	1	1	1
